County,Age,2000 Persons By Age
Napa County,Age 41,1889
Napa County,Age 42,1932
Napa County,Age 43,1914
Napa County,Age 44,1949
Napa County,Age 45,1980
Napa County,Age 46,1924
Napa County,Age 47,1986
Napa County,Age 48,1880
Napa County,Age 49,1828
Napa County,Age 50,1836
Napa County,Age 51,1702
Napa County,Age 52,1890
Napa County,Age 53,1917
Napa County,Age 54,1449
Napa County,Age 55,1446
Napa County,Age 56,1530
Napa County,Age 57,1399
Napa County,Age 58,1271
Napa County,Age 59,1166
Napa County,Age 60,1064
Napa County,Age 61,1038
Napa County,Age 62,1045
Napa County,Age 63,932
Napa County,Age 64,956
Napa County,Age 65,1005
Napa County,Age 66,810
Napa County,Age 67,915
Napa County,Age 68,889
Napa County,Age 69,881
Napa County,Age 70,873
Napa County,Age 71,811
Napa County,Age 72,839
Napa County,Age 73,847
Napa County,Age 74,825
Napa County,Age 75,841
Napa County,Age 76,900
Napa County,Age 77,925
Napa County,Age 78,856
Napa County,Age 79,857
Napa County,Age 80,744
Napa County,Age 81,631
Napa County,Age 82,624
Napa County,Age 83,558
Napa County,Age 84,529
Napa County,Age 85,487
Napa County,Age 86,429
Napa County,Age 87,387
Napa County,Age 88,321
Napa County,Age 89,255
Napa County,Age 90,233
Napa County,Age 91,192
Napa County,Age 92,156
Napa County,Age 93,130
Napa County,Age 94,98
Napa County,Age 95,58
Napa County,Age 96,50
Napa County,Age 97,38
Napa County,Age 98,27
Napa County,Age 99,20
Napa County,Ages 100+,45
San Francisco County,Age 0,6961
San Francisco County,Age 1,6422
San Francisco County,Age 2,6011
San Francisco County,Age 3,6261
San Francisco County,Age 4,5978
San Francisco County,Age 5,6257
San Francisco County,Age 6,6200
San Francisco County,Age 7,6245
San Francisco County,Age 8,6489
San Francisco County,Age 9,6373
San Francisco County,Age 10,6516
San Francisco County,Age 11,6259
San Francisco County,Age 12,6150
San Francisco County,Age 13,5911
San Francisco County,Age 14,5977
San Francisco County,Age 15,6140
San Francisco County,Age 16,6197
San Francisco County,Age 17,6455
San Francisco County,Age 18,6894
San Francisco County,Age 19,7648
San Francisco County,Age 20,8437
San Francisco County,Age 21,8526
San Francisco County,Age 22,10651
San Francisco County,Age 23,13410
San Francisco County,Age 24,15030
San Francisco County,Age 25,17255
San Francisco County,Age 26,17124
San Francisco County,Age 27,17776
San Francisco County,Age 28,19058
San Francisco County,Age 29,20180
San Francisco County,Age 30,21981
San Francisco County,Age 31,18198
San Francisco County,Age 32,17107
San Francisco County,Age 33,15807
San Francisco County,Age 34,15932
San Francisco County,Age 35,16781
San Francisco County,Age 36,14984
San Francisco County,Age 37,14132
San Francisco County,Age 38,13506
San Francisco County,Age 39,12925
San Francisco County,Age 40,13879
San Francisco County,Age 41,11911
San Francisco County,Age 42,12253
San Francisco County,Age 43,11901
San Francisco County,Age 44,11532
San Francisco County,Age 45,12357
San Francisco County,Age 46,11027
San Francisco County,Age 47,11214
San Francisco County,Age 48,10915
San Francisco County,Age 49,11010
San Francisco County,Age 50,12318
San Francisco County,Age 51,10618
San Francisco County,Age 52,10352
San Francisco County,Age 53,9826
San Francisco County,Age 54,8081
San Francisco County,Age 55,8060
San Francisco County,Age 56,7256
San Francisco County,Age 57,6977
San Francisco County,Age 58,6434
San Francisco County,Age 59,6299
San Francisco County,Age 60,6645
San Francisco County,Age 61,6020
San Francisco County,Age 62,6067
San Francisco County,Age 63,5803
San Francisco County,Age 64,5723
San Francisco County,Age 65,5787
San Francisco County,Age 66,5500
San Francisco County,Age 67,5302
San Francisco County,Age 68,5057
San Francisco County,Age 69,5577
San Francisco County,Age 70,5742
San Francisco County,Age 71,5195
San Francisco County,Age 72,5345
San Francisco County,Age 73,5254
San Francisco County,Age 74,5196
San Francisco County,Age 75,5226
San Francisco County,Age 76,4774
San Francisco County,Age 77,4674
San Francisco County,Age 78,4396
San Francisco County,Age 79,3896
San Francisco County,Age 80,3788
San Francisco County,Age 81,3142
San Francisco County,Age 82,2889
San Francisco County,Age 83,2611
San Francisco County,Age 84,2533
San Francisco County,Age 85,2361
San Francisco County,Age 86,2051
San Francisco County,Age 87,1858
San Francisco County,Age 88,1578
San Francisco County,Age 89,1340
San Francisco County,Age 90,1079
San Francisco County,Age 91,912
San Francisco County,Age 92,726
San Francisco County,Age 93,622
San Francisco County,Age 94,465
San Francisco County,Age 95,343
San Francisco County,Age 96,229
San Francisco County,Age 97,195
San Francisco County,Age 98,125
San Francisco County,Age 99,110
San Francisco County,Ages 100+,233
San Mateo County,Age 0,9419
San Mateo County,Age 1,9130
San Mateo County,Age 2,8884
San Mateo County,Age 3,8929
San Mateo County,Age 4,9012
San Mateo County,Age 5,9151
San Mateo County,Age 6,9108
San Mateo County,Age 7,9422
San Mateo County,Age 8,9581
San Mateo County,Age 9,9668
San Mateo County,Age 10,9412
San Mateo County,Age 11,9117
San Mateo County,Age 12,8613
San Mateo County,Age 13,8574
San Mateo County,Age 14,8463
San Mateo County,Age 15,8333
San Mateo County,Age 16,8562
San Mateo County,Age 17,8722
San Mateo County,Age 18,7757
San Mateo County,Age 19,7429
San Mateo County,Age 20,7659
San Mateo County,Age 21,7314
San Mateo County,Age 22,8038
San Mateo County,Age 23,8764
San Mateo County,Age 24,9122
San Mateo County,Age 25,9836
San Mateo County,Age 26,9546
San Mateo County,Age 27,10308
San Mateo County,Age 28,11051
San Mateo County,Age 29,11764
San Mateo County,Age 30,12521
San Mateo County,Age 31,11772
San Mateo County,Age 32,11796
San Mateo County,Age 33,11544
San Mateo County,Age 34,11984
San Mateo County,Age 35,12770
San Mateo County,Age 36,12657
San Mateo County,Age 37,12556
San Mateo County,Age 38,12586
San Mateo County,Age 39,12540
San Mateo County,Age 40,12695
San Mateo County,Age 41,11977
San Mateo County,Age 42,11934
San Mateo County,Age 43,11572
San Mateo County,Age 44,11412
San Mateo County,Age 45,11622
San Mateo County,Age 46,10861
San Mateo County,Age 47,10728
San Mateo County,Age 48,10291
San Mateo County,Age 49,10203
San Mateo County,Age 50,10731
San Mateo County,Age 51,10040
San Mateo County,Age 52,10001
San Mateo County,Age 53,10105
San Mateo County,Age 54,7977
San Mateo County,Age 55,7920
San Mateo County,Age 56,7509
San Mateo County,Age 57,7315
San Mateo County,Age 58,6602
San Mateo County,Age 59,6266
San Mateo County,Age 60,6349
San Mateo County,Age 61,5855
San Mateo County,Age 62,5566
San Mateo County,Age 63,5230
San Mateo County,Age 64,4901
San Mateo County,Age 65,4931
San Mateo County,Age 66,4552
San Mateo County,Age 67,4540
San Mateo County,Age 68,4396
San Mateo County,Age 69,4532
San Mateo County,Age 70,4608
San Mateo County,Age 71,4385
San Mateo County,Age 72,4386
San Mateo County,Age 73,4153
San Mateo County,Age 74,4259
San Mateo County,Age 75,4314
San Mateo County,Age 76,3995
San Mateo County,Age 77,3767
San Mateo County,Age 78,3756
San Mateo County,Age 79,3543
San Mateo County,Age 80,3131
San Mateo County,Age 81,2788
San Mateo County,Age 82,2433
San Mateo County,Age 83,2244
San Mateo County,Age 84,2029
San Mateo County,Age 85,1902
San Mateo County,Age 86,1687
San Mateo County,Age 87,1544
San Mateo County,Age 88,1212
San Mateo County,Age 89,1054
San Mateo County,Age 90,847
San Mateo County,Age 91,718
San Mateo County,Age 92,567
San Mateo County,Age 93,488
San Mateo County,Age 94,365
San Mateo County,Age 95,256
San Mateo County,Age 96,216
San Mateo County,Age 97,147
San Mateo County,Age 98,109
San Mateo County,Age 99,93
San Mateo County,Ages 100+,138
Santa Clara County,Age 0,23963
Santa Clara County,Age 1,23897
Santa Clara County,Age 2,23625
Santa Clara County,Age 3,23839
Santa Clara County,Age 4,24094
Santa Clara County,Age 5,23920
Santa Clara County,Age 6,24006
Santa Clara County,Age 7,24128
Santa Clara County,Age 8,24480
Santa Clara County,Age 9,24191
Santa Clara County,Age 10,23903
Santa Clara County,Age 11,22842
Santa Clara County,Age 12,22044
Santa Clara County,Age 13,21519
Santa Clara County,Age 14,21135
Santa Clara County,Age 15,21364
Santa Clara County,Age 16,21428
Santa Clara County,Age 17,22024
Santa Clara County,Age 18,21768
Santa Clara County,Age 19,21442
Santa Clara County,Age 20,21685
Santa Clara County,Age 21,21036
Santa Clara County,Age 22,21754
Santa Clara County,Age 23,23134
Santa Clara County,Age 24,25081
Santa Clara County,Age 25,27343
Santa Clara County,Age 26,27351
Santa Clara County,Age 27,28778
Santa Clara County,Age 28,29954
Santa Clara County,Age 29,31480
Santa Clara County,Age 30,33758
Santa Clara County,Age 31,30543
Santa Clara County,Age 32,30446
Santa Clara County,Age 33,29643
Santa Clara County,Age 34,29844
Santa Clara County,Age 35,32864
Santa Clara County,Age 36,31158
Santa Clara County,Age 37,30930
Santa Clara County,Age 38,30730
Santa Clara County,Age 39,30493
Santa Clara County,Age 40,31186
Santa Clara County,Age 41,28179
Santa Clara County,Age 42,28199
Santa Clara County,Age 43,27162
Santa Clara County,Age 44,25982
Santa Clara County,Age 45,26195
Santa Clara County,Age 46,23944
Santa Clara County,Age 47,23516
Santa Clara County,Age 48,22158
Santa Clara County,Age 49,21877
Santa Clara County,Age 50,22087
Santa Clara County,Age 51,20697
Santa Clara County,Age 52,20643
Santa Clara County,Age 53,20782
Santa Clara County,Age 54,16816
Santa Clara County,Age 55,16950
Santa Clara County,Age 56,16107
Santa Clara County,Age 57,16161
Santa Clara County,Age 58,14084
Santa Clara County,Age 59,13312
Santa Clara County,Age 60,13139
Santa Clara County,Age 61,12192
Santa Clara County,Age 62,11753
Santa Clara County,Age 63,10927
Santa Clara County,Age 64,10393
Santa Clara County,Age 65,10125
Santa Clara County,Age 66,9188
Santa Clara County,Age 67,9349
Santa Clara County,Age 68,8874
Santa Clara County,Age 69,9078
Santa Clara County,Age 70,8921
Santa Clara County,Age 71,8145
Santa Clara County,Age 72,7936
Santa Clara County,Age 73,7774
Santa Clara County,Age 74,7803
Santa Clara County,Age 75,7504
Santa Clara County,Age 76,7164
Santa Clara County,Age 77,6834
Santa Clara County,Age 78,6690
Santa Clara County,Age 79,5935
Santa Clara County,Age 80,5466
Santa Clara County,Age 81,4577
Santa Clara County,Age 82,4122
Santa Clara County,Age 83,3747
Santa Clara County,Age 84,3308
Santa Clara County,Age 85,3137
Santa Clara County,Age 86,2648
Santa Clara County,Age 87,2341
Santa Clara County,Age 88,1924
Santa Clara County,Age 89,1715
Santa Clara County,Age 90,1399
Santa Clara County,Age 91,1186
Santa Clara County,Age 92,916
Santa Clara County,Age 93,709
Santa Clara County,Age 94,537
Santa Clara County,Age 95,413
Santa Clara County,Age 96,318
Santa Clara County,Age 97,231
Santa Clara County,Age 98,155
Santa Clara County,Age 99,134
Santa Clara County,Ages 100+,224
Solano County,Age 0,5408
Solano County,Age 1,5630
Solano County,Age 2,5747
Solano County,Age 3,5977
Solano County,Age 4,6022
Solano County,Age 5,6180
Solano County,Age 6,6250
Solano County,Age 7,6532
Solano County,Age 8,6490
Solano County,Age 9,6673
Solano County,Age 10,6905
Solano County,Age 11,6580
Solano County,Age 12,6394
Solano County,Age 13,6279
Solano County,Age 14,6220
Solano County,Age 15,6311
Solano County,Age 16,6147
Solano County,Age 17,6107
Solano County,Age 18,5477
Solano County,Age 19,5334
Solano County,Age 20,5249
Solano County,Age 21,4997
Solano County,Age 22,5254
Solano County,Age 23,5061
Solano County,Age 24,4931
Solano County,Age 25,4972
Solano County,Age 26,5065
Solano County,Age 27,5084
Solano County,Age 28,5275
Solano County,Age 29,5885
Solano County,Age 30,5865
Solano County,Age 31,5429
Solano County,Age 32,5571
Solano County,Age 33,6394
Solano County,Age 34,6316
Solano County,Age 35,6499
Solano County,Age 36,6596
Solano County,Age 37,6757
Solano County,Age 38,6811
Solano County,Age 39,6931
Solano County,Age 40,7114
Solano County,Age 41,6547
Solano County,Age 42,6704
Solano County,Age 43,6736
Solano County,Age 44,6943
Solano County,Age 45,6659
Solano County,Age 46,5927
Solano County,Age 47,6063
Solano County,Age 48,5677
Solano County,Age 49,5492
Solano County,Age 50,5689
Solano County,Age 51,5251
Solano County,Age 52,5253
Solano County,Age 53,5281
Solano County,Age 54,4027
Solano County,Age 55,4033
Solano County,Age 56,3842
Solano County,Age 57,3501
Solano County,Age 58,3097
Solano County,Age 59,2869
Solano County,Age 60,2751
Solano County,Age 61,2702
Solano County,Age 62,2615
Solano County,Age 63,2335
Solano County,Age 64,2403
Solano County,Age 65,2305
Solano County,Age 66,2217
Solano County,Age 67,2247
Solano County,Age 68,2028
Solano County,Age 69,2132
Solano County,Age 70,2082
Solano County,Age 71,1858
Solano County,Age 72,1843
Solano County,Age 73,1777
Solano County,Age 74,1757
Solano County,Age 75,1783
Solano County,Age 76,1646
Solano County,Age 77,1570
Solano County,Age 78,1602
Solano County,Age 79,1483
Solano County,Age 80,1328
Solano County,Age 81,1182
Solano County,Age 82,972
Solano County,Age 83,855
Solano County,Age 84,844
Solano County,Age 85,677
Solano County,Age 86,650
Solano County,Age 87,485
Solano County,Age 88,437
Solano County,Age 89,368
Solano County,Age 90,302
Solano County,Age 91,257
Solano County,Age 92,202
Solano County,Age 93,138
Solano County,Age 94,104
Solano County,Age 95,92
Solano County,Age 96,61
Solano County,Age 97,39
Solano County,Age 98,28
Solano County,Age 99,22
Solano County,Ages 100+,53
Sonoma County,Age 0,5229
Sonoma County,Age 1,5417
Sonoma County,Age 2,5449
Sonoma County,Age 3,5710
Sonoma County,Age 4,5792
Sonoma County,Age 5,5933
Sonoma County,Age 6,6088
Sonoma County,Age 7,6337
Sonoma County,Age 8,6577
Sonoma County,Age 9,6911
Sonoma County,Age 10,6849
Sonoma County,Age 11,6550
Sonoma County,Age 12,6468
Sonoma County,Age 13,6493
Sonoma County,Age 14,6673
Sonoma County,Age 15,6604
Sonoma County,Age 16,6478
Sonoma County,Age 17,6595
Sonoma County,Age 18,6366
Sonoma County,Age 19,6316
Sonoma County,Age 20,6203
Sonoma County,Age 21,5637
Sonoma County,Age 22,5402
Sonoma County,Age 23,5437
Sonoma County,Age 24,5187
Sonoma County,Age 25,5284
Sonoma County,Age 26,5044
Sonoma County,Age 27,5302
Sonoma County,Age 28,5608
Sonoma County,Age 29,6096
Sonoma County,Age 30,6520
Sonoma County,Age 31,6136
Sonoma County,Age 32,6042
Sonoma County,Age 33,5993
Sonoma County,Age 34,6321
Sonoma County,Age 35,7175
Sonoma County,Age 36,7226
Sonoma County,Age 37,7408
Sonoma County,Age 38,7329
Sonoma County,Age 39,7760
Sonoma County,Age 40,8084
Sonoma County,Age 41,7219
Sonoma County,Age 42,7923
Sonoma County,Age 43,7708
Sonoma County,Age 44,7783
Sonoma County,Age 45,7996
Sonoma County,Age 46,7724
Sonoma County,Age 47,7795
Sonoma County,Age 48,7682
Sonoma County,Age 49,7470
Sonoma County,Age 50,7827
Sonoma County,Age 51,7263
Sonoma County,Age 52,7344
Sonoma County,Age 53,7352
Sonoma County,Age 54,5384
Sonoma County,Age 55,5495
Sonoma County,Age 56,5112
Sonoma County,Age 57,4967
Sonoma County,Age 58,4290
Sonoma County,Age 59,3785
Sonoma County,Age 60,3558
Sonoma County,Age 61,3455
Sonoma County,Age 62,3407
Sonoma County,Age 63,3096
Sonoma County,Age 64,2973
Sonoma County,Age 65,2959
Sonoma County,Age 66,2641
Sonoma County,Age 67,2714
Sonoma County,Age 68,2726
Sonoma County,Age 69,2726
Sonoma County,Age 70,2854
Sonoma County,Age 71,2666
Sonoma County,Age 72,2707
Sonoma County,Age 73,2613
Sonoma County,Age 74,2788
Sonoma County,Age 75,2718
Sonoma County,Age 76,2688
Sonoma County,Age 77,2574
Sonoma County,Age 78,2673
Sonoma County,Age 79,2452
Sonoma County,Age 80,2107
Sonoma County,Age 81,2045
Sonoma County,Age 82,1839
Sonoma County,Age 83,1700
Sonoma County,Age 84,1533
Sonoma County,Age 85,1402
Sonoma County,Age 86,1214
Sonoma County,Age 87,1064
Sonoma County,Age 88,924
Sonoma County,Age 89,795
Sonoma County,Age 90,622
Sonoma County,Age 91,553
Sonoma County,Age 92,426
Sonoma County,Age 93,350
Sonoma County,Age 94,233
Sonoma County,Age 95,203
Sonoma County,Age 96,138
Sonoma County,Age 97,95
Sonoma County,Age 98,78
Sonoma County,Age 99,53
Sonoma County,Ages 100+,104
