County,Age,2000 Persons By Age
Alameda County,Age 0,19397
Alameda County,Age 1,19292
Alameda County,Age 2,19598
Alameda County,Age 3,19891
Alameda County,Age 4,20200
Alameda County,Age 5,20746
Alameda County,Age 6,20747
Alameda County,Age 7,20914
Alameda County,Age 8,21208
Alameda County,Age 9,21033
Alameda County,Age 10,20723
Alameda County,Age 11,19809
Alameda County,Age 12,19513
Alameda County,Age 13,18452
Alameda County,Age 14,18272
Alameda County,Age 15,18351
Alameda County,Age 16,18121
Alameda County,Age 17,18305
Alameda County,Age 18,18493
Alameda County,Age 19,19178
Alameda County,Age 20,20254
Alameda County,Age 21,19628
Alameda County,Age 22,19816
Alameda County,Age 23,20097
Alameda County,Age 24,20950
Alameda County,Age 25,22292
Alameda County,Age 26,21897
Alameda County,Age 27,23446
Alameda County,Age 28,23754
Alameda County,Age 29,25537
Alameda County,Age 30,27516
Alameda County,Age 31,24838
Alameda County,Age 32,23878
Alameda County,Age 33,23460
Alameda County,Age 34,24455
Alameda County,Age 35,26850
Alameda County,Age 36,25919
Alameda County,Age 37,25409
Alameda County,Age 38,25351
Alameda County,Age 39,24897
Alameda County,Age 40,26416
Alameda County,Age 41,23709
Alameda County,Age 42,24126
Alameda County,Age 43,23005
Alameda County,Age 44,23024
Alameda County,Age 45,23302
Alameda County,Age 46,21521
Alameda County,Age 47,21359
Alameda County,Age 48,20455
Alameda County,Age 49,19952
Alameda County,Age 50,21318
Alameda County,Age 51,19340
Alameda County,Age 52,19412
Alameda County,Age 53,18899
Alameda County,Age 54,14960
Alameda County,Age 55,15074
Alameda County,Age 56,13850
Alameda County,Age 57,13511
Alameda County,Age 58,11779
Alameda County,Age 59,10993
Alameda County,Age 60,10924
Alameda County,Age 61,9898
Alameda County,Age 62,9451
Alameda County,Age 63,8920
Alameda County,Age 64,8465
Alameda County,Age 65,8763
Alameda County,Age 66,7816
Alameda County,Age 67,7793
Alameda County,Age 68,7549
Alameda County,Age 69,7498
Alameda County,Age 70,7742
Alameda County,Age 71,7073
Alameda County,Age 72,7067
Alameda County,Age 73,7189
Alameda County,Age 74,7209
Alameda County,Age 75,7017
Alameda County,Age 76,6699
Alameda County,Age 77,6245
Alameda County,Age 78,6227
Alameda County,Age 79,5697
Alameda County,Age 80,5329
Alameda County,Age 81,4521
Alameda County,Age 82,4213
Alameda County,Age 83,3691
Alameda County,Age 84,3430
Alameda County,Age 85,3205
Alameda County,Age 86,2872
Alameda County,Age 87,2347
Alameda County,Age 88,2075
Alameda County,Age 89,1730
Alameda County,Age 90,1419
Alameda County,Age 91,1130
Alameda County,Age 92,942
Alameda County,Age 93,794
Alameda County,Age 94,634
Alameda County,Age 95,450
Alameda County,Age 96,374
Alameda County,Age 97,254
Alameda County,Age 98,177
Alameda County,Age 99,155
Alameda County,Ages 100+,265
Contra Costa County,Age 0,12598
Contra Costa County,Age 1,12909
Contra Costa County,Age 2,13062
Contra Costa County,Age 3,13409
Contra Costa County,Age 4,14150
Contra Costa County,Age 5,14041
Contra Costa County,Age 6,14336
Contra Costa County,Age 7,14311
Contra Costa County,Age 8,14973
Contra Costa County,Age 9,15370
Contra Costa County,Age 10,15333
Contra Costa County,Age 11,14505
Contra Costa County,Age 12,14163
Contra Costa County,Age 13,13940
Contra Costa County,Age 14,14076
Contra Costa County,Age 15,13710
Contra Costa County,Age 16,13396
Contra Costa County,Age 17,13512
Contra Costa County,Age 18,11756
Contra Costa County,Age 19,10750
Contra Costa County,Age 20,10714
Contra Costa County,Age 21,9868
Contra Costa County,Age 22,9986
Contra Costa County,Age 23,10006
Contra Costa County,Age 24,10122
Contra Costa County,Age 25,10740
Contra Costa County,Age 26,10416
Contra Costa County,Age 27,11282
Contra Costa County,Age 28,11752
Contra Costa County,Age 29,13010
Contra Costa County,Age 30,14191
Contra Costa County,Age 31,13263
Contra Costa County,Age 32,13609
Contra Costa County,Age 33,13788
Contra Costa County,Age 34,14336
Contra Costa County,Age 35,16288
Contra Costa County,Age 36,16030
Contra Costa County,Age 37,16169
Contra Costa County,Age 38,16668
Contra Costa County,Age 39,16811
Contra Costa County,Age 40,17508
Contra Costa County,Age 41,16054
Contra Costa County,Age 42,16158
Contra Costa County,Age 43,16220
Contra Costa County,Age 44,15849
Contra Costa County,Age 45,16088
Contra Costa County,Age 46,14892
Contra Costa County,Age 47,14921
Contra Costa County,Age 48,14337
Contra Costa County,Age 49,13985
Contra Costa County,Age 50,14710
Contra Costa County,Age 51,13756
Contra Costa County,Age 52,14270
Contra Costa County,Age 53,14017
Contra Costa County,Age 54,11012
Contra Costa County,Age 55,11024
Contra Costa County,Age 56,10420
Contra Costa County,Age 57,10316
Contra Costa County,Age 58,8814
Contra Costa County,Age 59,8184
Contra Costa County,Age 60,8135
Contra Costa County,Age 61,7391
Contra Costa County,Age 62,7251
Contra Costa County,Age 63,6571
Contra Costa County,Age 64,6312
Contra Costa County,Age 65,6274
Contra Costa County,Age 66,5660
Contra Costa County,Age 67,5649
Contra Costa County,Age 68,5421
Contra Costa County,Age 69,5633
Contra Costa County,Age 70,5618
Contra Costa County,Age 71,5035
Contra Costa County,Age 72,5361
Contra Costa County,Age 73,5030
Contra Costa County,Age 74,5041
Contra Costa County,Age 75,5158
Contra Costa County,Age 76,4965
Contra Costa County,Age 77,4824
Contra Costa County,Age 78,4460
Contra Costa County,Age 79,4230
Contra Costa County,Age 80,3784
Contra Costa County,Age 81,3375
Contra Costa County,Age 82,3135
Contra Costa County,Age 83,2741
Contra Costa County,Age 84,2507
Contra Costa County,Age 85,2304
Contra Costa County,Age 86,1988
Contra Costa County,Age 87,1714
Contra Costa County,Age 88,1460
Contra Costa County,Age 89,1236
Contra Costa County,Age 90,1045
Contra Costa County,Age 91,883
Contra Costa County,Age 92,693
Contra Costa County,Age 93,545
Contra Costa County,Age 94,393
Contra Costa County,Age 95,306
Contra Costa County,Age 96,261
Contra Costa County,Age 97,153
Contra Costa County,Age 98,129
Contra Costa County,Age 99,90
Contra Costa County,Ages 100+,171
Marin County,Age 0,2645
Marin County,Age 1,2661
Marin County,Age 2,2647
Marin County,Age 3,2697
Marin County,Age 4,2746
Marin County,Age 5,2710
Marin County,Age 6,2733
Marin County,Age 7,2883
Marin County,Age 8,2967
Marin County,Age 9,3045
Marin County,Age 10,3011
Marin County,Age 11,2929
Marin County,Age 12,2855
Marin County,Age 13,2794
Marin County,Age 14,2767
Marin County,Age 15,2809
Marin County,Age 16,2666
Marin County,Age 17,2620
Marin County,Age 18,2208
Marin County,Age 19,1774
Marin County,Age 20,1831
Marin County,Age 21,1698
Marin County,Age 22,1866
Marin County,Age 23,2099
Marin County,Age 24,2139
Marin County,Age 25,2469
Marin County,Age 26,2429
Marin County,Age 27,2727
Marin County,Age 28,2902
Marin County,Age 29,3239
Marin County,Age 30,3636
Marin County,Age 31,3401
Marin County,Age 32,3665
Marin County,Age 33,3632
Marin County,Age 34,3915
Marin County,Age 35,4344
Marin County,Age 36,4173
Marin County,Age 37,4386
Marin County,Age 38,4256
Marin County,Age 39,4555
Marin County,Age 40,4825
Marin County,Age 41,4349
Marin County,Age 42,4662
Marin County,Age 43,4402
Marin County,Age 44,4634
Marin County,Age 45,4704
Marin County,Age 46,4672
Marin County,Age 47,4753
Marin County,Age 48,4498
Marin County,Age 49,4519
Marin County,Age 50,4785
Marin County,Age 51,4446
Marin County,Age 52,4712
Marin County,Age 53,4657
Marin County,Age 54,3846
Marin County,Age 55,3836
Marin County,Age 56,3594
Marin County,Age 57,3627
Marin County,Age 58,2987
Marin County,Age 59,2605
Marin County,Age 60,2645
Marin County,Age 61,2416
Marin County,Age 62,2186
Marin County,Age 63,1987
Marin County,Age 64,1981
Marin County,Age 65,1933
Marin County,Age 66,1665
Marin County,Age 67,1784
Marin County,Age 68,1721
Marin County,Age 69,1734
Marin County,Age 70,1688
Marin County,Age 71,1600
Marin County,Age 72,1614
Marin County,Age 73,1527
Marin County,Age 74,1525
Marin County,Age 75,1549
Marin County,Age 76,1500
Marin County,Age 77,1354
Marin County,Age 78,1400
Marin County,Age 79,1301
Marin County,Age 80,1246
Marin County,Age 81,1092
Marin County,Age 82,936
Marin County,Age 83,852
Marin County,Age 84,830
Marin County,Age 85,793
Marin County,Age 86,644
Marin County,Age 87,539
Marin County,Age 88,476
Marin County,Age 89,414
Marin County,Age 90,331
Marin County,Age 91,338
Marin County,Age 92,281
Marin County,Age 93,185
Marin County,Age 94,163
Marin County,Age 95,103
Marin County,Age 96,96
Marin County,Age 97,75
Marin County,Age 98,52
Marin County,Age 99,48
Marin County,Ages 100+,43
Napa County,Age 0,1451
Napa County,Age 1,1486
Napa County,Age 2,1513
Napa County,Age 3,1523
Napa County,Age 4,1590
Napa County,Age 5,1635
Napa County,Age 6,1702
Napa County,Age 7,1667
Napa County,Age 8,1748
Napa County,Age 9,1770
Napa County,Age 10,1723
Napa County,Age 11,1744
Napa County,Age 12,1699
Napa County,Age 13,1788
Napa County,Age 14,1671
Napa County,Age 15,1729
Napa County,Age 16,1751
Napa County,Age 17,1808
Napa County,Age 18,1711
Napa County,Age 19,1614
Napa County,Age 20,1518
Napa County,Age 21,1502
Napa County,Age 22,1421
Napa County,Age 23,1403
Napa County,Age 24,1341
Napa County,Age 25,1393
Napa County,Age 26,1340
Napa County,Age 27,1520
Napa County,Age 28,1402
Napa County,Age 29,1674
Napa County,Age 30,1721
Napa County,Age 31,1541
Napa County,Age 32,1638
Napa County,Age 33,1597
Napa County,Age 34,1736
Napa County,Age 35,1782
Napa County,Age 36,1869
Napa County,Age 37,1811
Napa County,Age 38,1841
Napa County,Age 39,1928
Napa County,Age 40,1969
