18-Feb-2015 14:32:34:365, INFO, balancing incidence table 2 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:34:366, INFO, balancing incidence table 3 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:34:367, INFO, balancing incidence table 4 has 2445 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:34:368, INFO, balancing incidence table 5 has 2445 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:34:369, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:34:448, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:34:571, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:34:709, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:34:860, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:34:987, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:35:244, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:35:543, INFO, combining final incidence tables.
18-Feb-2015 14:32:35:544, INFO, balancing incidence table 0 has 2865 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:35:545, INFO, balancing incidence table 1 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:35:546, INFO, balancing incidence table 2 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:35:548, INFO, balancing incidence table 3 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:35:549, INFO, balancing incidence table 4 has 2865 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:35:550, INFO, balancing incidence table 5 has 2865 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:35:551, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:35:657, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:35:832, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:35:981, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:36:115, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:36:232, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:36:429, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:36:610, INFO, combining final incidence tables.
18-Feb-2015 14:32:36:611, INFO, balancing incidence table 0 has 2552 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:36:611, INFO, balancing incidence table 1 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:36:612, INFO, balancing incidence table 2 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:36:613, INFO, balancing incidence table 3 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:36:613, INFO, balancing incidence table 4 has 2552 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:36:614, INFO, balancing incidence table 5 has 2552 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:36:615, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:36:688, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:36:796, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
