MAZ,2010 HH
11044,55
11046,91
11051,52
11055,61
11056,55
11059,45
11060,67
11062,64
11063,88
11064,100
11065,74
11067,138
11068,115
11071,520
11073,209
11074,7
11075,0
11079,136
11080,79
11081,76
11082,94
11083,184
11085,87
11086,0
11087,6
11090,230
11092,134
11093,361
11094,98
11095,139
11096,74
11097,68
11098,63
11099,72
11100,67
11101,59
11102,60
11103,96
11104,78
11106,51
11107,53
11108,72
11109,55
11118,147
11120,59
11121,230
11122,250
11125,137
11127,69
11128,0
11129,0
11130,0
11132,199
11133,42
11134,90
11135,147
11136,70
11138,127
11139,236
11145,24
11146,48
11147,22
11148,44
11149,0
11150,132
11151,227
11152,158
11153,163
11154,90
11155,106
11156,171
11157,94
11159,92
11160,161
11162,69
11163,51
11164,58
11165,61
11166,82
11167,55
11168,65
11169,99
11171,83
11172,333
11173,119
11174,73
11175,69
11176,54
11177,74
11178,56
11179,56
11180,47
11181,56
11182,55
11183,54
11184,0
11186,76
11190,77
11191,112
11192,98
11195,112
11196,84
11198,61
11199,75
11200,145
11201,50
11203,55
11204,63
11205,52
11206,0
11207,63
11208,50
11210,64
11211,59
11213,437
11216,94
11221,45
11222,53
11223,66
11224,19
11225,41
11226,0
11228,3
11229,30
11230,26
11231,26
11232,14
11234,36
11236,70
11237,68
11238,74
11239,24
11240,58
11241,48
11242,65
11243,48
11245,184
11250,34
11251,6
11257,16
11259,174
11260,183
11261,206
11263,137
11264,91
11267,57
11268,76
11269,63
11270,26
11274,37
11280,21
11283,197
11284,69
11287,59
11293,67
11294,31
11297,28
11298,9
11299,14
11300,62
11301,92
11302,30
11303,61
11304,42
11306,84
11307,97
11309,102
11312,77
11315,17
11316,47
11319,94
11323,184
11324,180
11326,274
11328,433
11329,379
11330,122
11332,170
11333,25
11335,132
11337,41
11339,23
11341,94
11342,1
11343,269
11344,20
11345,19
11347,11
11349,0
11350,51
11351,82
11352,0
11353,37
11355,234
11358,62
11359,43
11360,65
11361,0
11367,56
11368,0
11369,0
11371,188
11374,34
11375,44
11376,162
11377,116
11378,204
11381,119
11382,90
11384,146
11385,46
11386,34
11388,34
11389,23
11390,19
11391,47
11392,52
11393,82
11394,48
11396,64
11397,12
11398,65
11399,70
11401,43
11402,101
11403,18
11405,120
11409,100
11411,44
11418,72
11419,54
11422,72
11423,136
11424,74
11425,82
11426,81
11427,92
11429,55
11431,36
11432,47
11433,40
11434,65
11435,20
11436,35
11437,87
11438,98
11439,182
11440,54
11441,46
11442,55
11444,0
11449,120
11453,154
11454,157
11457,40
11459,78
11461,443
11462,84
11463,134
11464,32
11466,52
11467,72
11468,75
11469,94
11471,65
11473,51
11474,11
11475,0
11476,29
11485,68
11486,48
11487,22
11489,225
11490,102
11491,109
11492,177
11495,86
11496,60
11497,221
11498,126
11499,115
11500,0
11501,259
11502,82
11504,80
11505,79
11506,60
11508,99
11509,0
11512,389
11513,48
11514,0
11515,0
11517,0
11522,110
11523,81
11524,121
11525,111
11527,96
11529,110
11530,146
11531,67
11533,81
11541,47
11544,1
11547,0
11548,0
11549,0
11550,0
