MAZ,TAZ,PUMA5CE00,COUNTYFP,MTCCountyID,COUNTYNAME
10259,1,2203,75,1,San Francisco
14166,1,2203,75,1,San Francisco
14167,1,2203,75,1,San Francisco
14244,1,2203,75,1,San Francisco
14245,1,2203,75,1,San Francisco
15021,1,2203,75,1,San Francisco
15260,1,2203,75,1,San Francisco
15433,1,2203,75,1,San Francisco
15763,1,2203,75,1,San Francisco
11515,2,2203,75,1,San Francisco
13725,2,2203,75,1,San Francisco
13726,2,2203,75,1,San Francisco
13727,2,2203,75,1,San Francisco
13729,2,2203,75,1,San Francisco
13731,2,2203,75,1,San Francisco
14061,2,2203,75,1,San Francisco
14062,2,2203,75,1,San Francisco
14235,2,2203,75,1,San Francisco
14238,2,2203,75,1,San Francisco
15252,2,2203,75,1,San Francisco
15316,2,2203,75,1,San Francisco
15428,2,2203,75,1,San Francisco
16723,2,2203,75,1,San Francisco
13302,3,2203,75,1,San Francisco
13724,3,2203,75,1,San Francisco
14619,3,2203,75,1,San Francisco
10086,4,2203,75,1,San Francisco
12259,4,2203,75,1,San Francisco
14240,4,2203,75,1,San Francisco
14243,4,2203,75,1,San Francisco
15076,4,2203,75,1,San Francisco
15256,4,2203,75,1,San Francisco
10460,5,2203,75,1,San Francisco
12779,5,2203,75,1,San Francisco
13229,5,2203,75,1,San Francisco
13305,5,2203,75,1,San Francisco
14241,5,2203,75,1,San Francisco
14242,5,2203,75,1,San Francisco
14281,5,2203,75,1,San Francisco
15253,5,2203,75,1,San Francisco
15313,5,2203,75,1,San Francisco
15318,5,2203,75,1,San Francisco
15319,5,2203,75,1,San Francisco
15359,5,2203,75,1,San Francisco
15360,5,2203,75,1,San Francisco
16724,5,2203,75,1,San Francisco
17027,5,2203,75,1,San Francisco
12196,6,2203,75,1,San Francisco
13182,6,2203,75,1,San Francisco
13303,6,2203,75,1,San Francisco
13529,6,2203,75,1,San Francisco
13531,6,2203,75,1,San Francisco
13650,6,2203,75,1,San Francisco
13875,6,2203,75,1,San Francisco
14420,6,2203,75,1,San Francisco
10456,7,2203,75,1,San Francisco
11173,7,2203,75,1,San Francisco
12197,7,2203,75,1,San Francisco
12605,7,2203,75,1,San Francisco
12776,7,2203,75,1,San Francisco
13117,7,2203,75,1,San Francisco
13429,7,2203,75,1,San Francisco
13649,7,2203,75,1,San Francisco
13651,7,2203,75,1,San Francisco
13844,7,2203,75,1,San Francisco
13845,7,2203,75,1,San Francisco
13846,7,2203,75,1,San Francisco
15357,7,2203,75,1,San Francisco
15358,7,2203,75,1,San Francisco
15796,7,2203,75,1,San Francisco
10038,8,2203,75,1,San Francisco
11071,8,2203,75,1,San Francisco
12153,8,2203,75,1,San Francisco
13114,8,2203,75,1,San Francisco
13115,8,2203,75,1,San Francisco
13304,8,2203,75,1,San Francisco
13431,8,2203,75,1,San Francisco
13530,8,2203,75,1,San Francisco
13652,8,2203,75,1,San Francisco
14134,8,2203,75,1,San Francisco
14280,8,2203,75,1,San Francisco
15382,8,2203,75,1,San Francisco
15706,8,2203,75,1,San Francisco
16747,8,2203,75,1,San Francisco
17230,8,2203,75,1,San Francisco
10137,9,2203,75,1,San Francisco
10447,9,2203,75,1,San Francisco
10454,9,2203,75,1,San Francisco
11332,9,2203,75,1,San Francisco
11333,9,2203,75,1,San Francisco
11461,9,2203,75,1,San Francisco
11674,9,2203,75,1,San Francisco
11676,9,2203,75,1,San Francisco
11730,9,2203,75,1,San Francisco
11927,9,2203,75,1,San Francisco
12074,9,2203,75,1,San Francisco
12075,9,2203,75,1,San Francisco
12574,9,2203,75,1,San Francisco
12676,9,2203,75,1,San Francisco
15576,9,2203,75,1,San Francisco
15600,9,2203,75,1,San Francisco
15879,9,2203,75,1,San Francisco
16033,9,2203,75,1,San Francisco
16035,9,2203,75,1,San Francisco
16036,9,2203,75,1,San Francisco
16381,9,2203,75,1,San Francisco
16545,9,2203,75,1,San Francisco
16546,9,2203,75,1,San Francisco
16547,9,2203,75,1,San Francisco
16548,9,2203,75,1,San Francisco
16549,9,2203,75,1,San Francisco
16635,9,2203,75,1,San Francisco
17025,9,2203,75,1,San Francisco
17231,9,2203,75,1,San Francisco
10138,10,2203,75,1,San Francisco
10512,10,2203,75,1,San Francisco
10675,10,2203,75,1,San Francisco
10920,10,2203,75,1,San Francisco
10922,10,2203,75,1,San Francisco
11929,10,2203,75,1,San Francisco
11930,10,2203,75,1,San Francisco
12394,10,2203,75,1,San Francisco
13430,10,2203,75,1,San Francisco
14180,10,2203,75,1,San Francisco
15269,10,2203,75,1,San Francisco
15880,10,2203,75,1,San Francisco
16808,10,2203,75,1,San Francisco
16811,10,2203,75,1,San Francisco
17233,10,2203,75,1,San Francisco
17234,10,2203,75,1,San Francisco
10144,11,2203,75,1,San Francisco
10268,11,2203,75,1,San Francisco
10269,11,2203,75,1,San Francisco
10270,11,2203,75,1,San Francisco
11339,11,2203,75,1,San Francisco
11984,11,2203,75,1,San Francisco
12390,11,2203,75,1,San Francisco
12391,11,2203,75,1,San Francisco
12392,11,2203,75,1,San Francisco
12393,11,2203,75,1,San Francisco
13372,11,2203,75,1,San Francisco
13900,11,2203,75,1,San Francisco
14108,11,2203,75,1,San Francisco
14165,11,2203,75,1,San Francisco
15320,11,2203,75,1,San Francisco
16810,11,2203,75,1,San Francisco
16812,11,2203,75,1,San Francisco
17238,11,2203,75,1,San Francisco
10263,12,2203,75,1,San Francisco
10677,12,2203,75,1,San Francisco
11341,12,2203,75,1,San Francisco
11342,12,2203,75,1,San Francisco
14064,12,2203,75,1,San Francisco
14661,12,2203,75,1,San Francisco
15022,12,2203,75,1,San Francisco
15257,12,2203,75,1,San Francisco
15429,12,2203,75,1,San Francisco
15430,12,2203,75,1,San Francisco
15601,12,2203,75,1,San Francisco
15760,12,2203,75,1,San Francisco
16726,12,2203,75,1,San Francisco
16727,12,2203,75,1,San Francisco
10222,13,2203,75,1,San Francisco
11774,13,2203,75,1,San Francisco
13734,13,2203,75,1,San Francisco
14660,13,2203,75,1,San Francisco
15201,13,2203,75,1,San Francisco
15761,13,2203,75,1,San Francisco
11128,14,2203,75,1,San Francisco
11129,14,2203,75,1,San Francisco
11736,14,2203,75,1,San Francisco
13712,14,2203,75,1,San Francisco
15039,14,2203,75,1,San Francisco
15081,14,2203,75,1,San Francisco
15206,14,2203,75,1,San Francisco
10159,15,2203,75,1,San Francisco
10260,15,2203,75,1,San Francisco
10261,15,2203,75,1,San Francisco
10262,15,2203,75,1,San Francisco
13068,15,2203,75,1,San Francisco
16790,15,2203,75,1,San Francisco
10265,16,2203,75,1,San Francisco
10517,16,2203,75,1,San Francisco
10702,16,2203,75,1,San Francisco
10704,16,2203,75,1,San Francisco
11517,16,2203,75,1,San Francisco
13336,16,2203,75,1,San Francisco
14665,16,2203,75,1,San Francisco
15203,16,2203,75,1,San Francisco
15204,16,2203,75,1,San Francisco
15205,16,2203,75,1,San Francisco
15207,16,2203,75,1,San Francisco
15476,16,2203,75,1,San Francisco
15989,16,2203,75,1,San Francisco
16212,16,2203,75,1,San Francisco
16213,16,2203,75,1,San Francisco
16214,16,2203,75,1,San Francisco
16217,16,2203,75,1,San Francisco
16786,16,2203,75,1,San Francisco
16787,16,2203,75,1,San Francisco
16792,16,2203,75,1,San Francisco
17079,16,2203,75,1,San Francisco
10055,17,2203,75,1,San Francisco
10127,17,2203,75,1,San Francisco
10128,17,2203,75,1,San Francisco
10646,17,2203,75,1,San Francisco
10680,17,2203,75,1,San Francisco
10703,17,2203,75,1,San Francisco
11138,17,2203,75,1,San Francisco
11474,17,2203,75,1,San Francisco
11694,17,2203,75,1,San Francisco
13078,17,2203,75,1,San Francisco
13514,17,2203,75,1,San Francisco
13516,17,2203,75,1,San Francisco
14666,17,2203,75,1,San Francisco
14769,17,2203,75,1,San Francisco
15883,17,2203,75,1,San Francisco
15988,17,2203,75,1,San Francisco
