MAZ,TAZ,PUMA5CE00,COUNTYFP,MTCCountyID,COUNTYNAME
15990,17,2203,75,1,San Francisco
16215,17,2203,75,1,San Francisco
16656,17,2203,75,1,San Francisco
16657,17,2203,75,1,San Francisco
16658,17,2203,75,1,San Francisco
16793,17,2203,75,1,San Francisco
16930,17,2203,75,1,San Francisco
12290,18,2203,75,1,San Francisco
12291,18,2203,75,1,San Francisco
12353,18,2203,75,1,San Francisco
12354,18,2203,75,1,San Francisco
12578,18,2203,75,1,San Francisco
12582,18,2203,75,1,San Francisco
13076,18,2203,75,1,San Francisco
13214,18,2203,75,1,San Francisco
13376,18,2203,75,1,San Francisco
13815,18,2203,75,1,San Francisco
13975,18,2203,75,1,San Francisco
14253,18,2203,75,1,San Francisco
14254,18,2203,75,1,San Francisco
14255,18,2203,75,1,San Francisco
10283,19,2203,75,1,San Francisco
10515,19,2203,75,1,San Francisco
11347,19,2203,75,1,San Francisco
11352,19,2203,75,1,San Francisco
11735,19,2203,75,1,San Francisco
11771,19,2203,75,1,San Francisco
12349,19,2203,75,1,San Francisco
12442,19,2203,75,1,San Francisco
12683,19,2203,75,1,San Francisco
13133,19,2203,75,1,San Francisco
13325,19,2203,75,1,San Francisco
13375,19,2203,75,1,San Francisco
14083,19,2203,75,1,San Francisco
14084,19,2203,75,1,San Francisco
14553,19,2203,75,1,San Francisco
15322,19,2203,75,1,San Francisco
15797,19,2203,75,1,San Francisco
16854,19,2203,75,1,San Francisco
17180,19,2203,75,1,San Francisco
10272,20,2203,75,1,San Francisco
10273,20,2203,75,1,San Francisco
10457,20,2203,75,1,San Francisco
10458,20,2203,75,1,San Francisco
10514,20,2203,75,1,San Francisco
11259,20,2203,75,1,San Francisco
11344,20,2203,75,1,San Francisco
11345,20,2203,75,1,San Francisco
11398,20,2203,75,1,San Francisco
11401,20,2203,75,1,San Francisco
11418,20,2203,75,1,San Francisco
11463,20,2203,75,1,San Francisco
11514,20,2203,75,1,San Francisco
11985,20,2203,75,1,San Francisco
12395,20,2203,75,1,San Francisco
12397,20,2203,75,1,San Francisco
12412,20,2203,75,1,San Francisco
12680,20,2203,75,1,San Francisco
12682,20,2203,75,1,San Francisco
12691,20,2203,75,1,San Francisco
15321,20,2203,75,1,San Francisco
15549,20,2203,75,1,San Francisco
15881,20,2203,75,1,San Francisco
17235,20,2203,75,1,San Francisco
17236,20,2203,75,1,San Francisco
10271,21,2203,75,1,San Francisco
12098,21,2203,75,1,San Francisco
12099,21,2203,75,1,San Francisco
12288,21,2203,75,1,San Francisco
12346,21,2203,75,1,San Francisco
12348,21,2203,75,1,San Francisco
13323,21,2203,75,1,San Francisco
13324,21,2203,75,1,San Francisco
13374,21,2203,75,1,San Francisco
13379,21,2203,75,1,San Francisco
13381,21,2203,75,1,San Francisco
13901,21,2203,75,1,San Francisco
14081,21,2203,75,1,San Francisco
14662,21,2203,75,1,San Francisco
10087,22,2202,75,1,San Francisco
14613,22,2202,75,1,San Francisco
14659,22,2202,75,1,San Francisco
15080,22,2202,75,1,San Francisco
15259,22,2202,75,1,San Francisco
15431,22,2202,75,1,San Francisco
15432,22,2202,75,1,San Francisco
15762,22,2202,75,1,San Francisco
15985,22,2202,75,1,San Francisco
16716,22,2202,75,1,San Francisco
16784,22,2202,75,1,San Francisco
17323,22,2202,75,1,San Francisco
11130,23,2202,75,1,San Francisco
13124,23,2202,75,1,San Francisco
13235,23,2202,75,1,San Francisco
13236,23,2202,75,1,San Francisco
13307,23,2202,75,1,San Francisco
13308,23,2202,75,1,San Francisco
13422,23,2202,75,1,San Francisco
13486,23,2202,75,1,San Francisco
13657,23,2202,75,1,San Francisco
13998,23,2202,75,1,San Francisco
14002,23,2202,75,1,San Francisco
14059,23,2202,75,1,San Francisco
14228,23,2202,75,1,San Francisco
14284,23,2202,75,1,San Francisco
15361,23,2202,75,1,San Francisco
15364,23,2202,75,1,San Francisco
15423,23,2202,75,1,San Francisco
16262,23,2202,75,1,San Francisco
16715,23,2202,75,1,San Francisco
13233,24,2202,75,1,San Francisco
13310,24,2202,75,1,San Francisco
13723,24,2202,75,1,San Francisco
14229,24,2202,75,1,San Francisco
14236,24,2202,75,1,San Francisco
14237,24,2202,75,1,San Francisco
14239,24,2202,75,1,San Francisco
14616,24,2202,75,1,San Francisco
14618,24,2202,75,1,San Francisco
14620,24,2202,75,1,San Francisco
15074,24,2202,75,1,San Francisco
15249,24,2202,75,1,San Francisco
15250,24,2202,75,1,San Francisco
15315,24,2202,75,1,San Francisco
15426,24,2202,75,1,San Francisco
15427,24,2202,75,1,San Francisco
16721,24,2202,75,1,San Francisco
12771,25,2202,75,1,San Francisco
13113,25,2202,75,1,San Francisco
13301,25,2202,75,1,San Francisco
14233,25,2202,75,1,San Francisco
14614,25,2202,75,1,San Francisco
14615,25,2202,75,1,San Francisco
12774,26,2202,75,1,San Francisco
13179,26,2202,75,1,San Francisco
14617,26,2202,75,1,San Francisco
15312,26,2202,75,1,San Francisco
12773,27,2202,75,1,San Francisco
13112,27,2202,75,1,San Francisco
13300,27,2202,75,1,San Francisco
13528,27,2202,75,1,San Francisco
14336,27,2202,75,1,San Francisco
15354,27,2202,75,1,San Francisco
15355,27,2202,75,1,San Francisco
16679,27,2202,75,1,San Francisco
10079,28,2202,75,1,San Francisco
12192,28,2202,75,1,San Francisco
12309,28,2202,75,1,San Francisco
12310,28,2202,75,1,San Francisco
12446,28,2202,75,1,San Francisco
12820,28,2202,75,1,San Francisco
13176,28,2202,75,1,San Francisco
13177,28,2202,75,1,San Francisco
13297,28,2202,75,1,San Francisco
13526,28,2202,75,1,San Francisco
13870,28,2202,75,1,San Francisco
13871,28,2202,75,1,San Francisco
15662,28,2202,75,1,San Francisco
11172,29,2202,75,1,San Francisco
11329,29,2202,75,1,San Francisco
11757,29,2202,75,1,San Francisco
12769,29,2202,75,1,San Francisco
12772,29,2202,75,1,San Francisco
12777,29,2202,75,1,San Francisco
13298,29,2202,75,1,San Francisco
13357,29,2202,75,1,San Francisco
15106,29,2202,75,1,San Francisco
15356,29,2202,75,1,San Francisco
11330,30,2203,75,1,San Francisco
11335,30,2203,75,1,San Francisco
11756,30,2203,75,1,San Francisco
12194,30,2203,75,1,San Francisco
12195,30,2203,75,1,San Francisco
12312,30,2203,75,1,San Francisco
12821,30,2203,75,1,San Francisco
12822,30,2203,75,1,San Francisco
13360,30,2203,75,1,San Francisco
13872,30,2203,75,1,San Francisco
13876,30,2203,75,1,San Francisco
14421,30,2203,75,1,San Francisco
17259,30,2203,75,1,San Francisco
12133,31,2203,75,1,San Francisco
12311,31,2203,75,1,San Francisco
12431,31,2203,75,1,San Francisco
13454,31,2203,75,1,San Francisco
13873,31,2203,75,1,San Francisco
13874,31,2203,75,1,San Francisco
14419,31,2203,75,1,San Francisco
17309,31,2203,75,1,San Francisco
17361,31,2203,75,1,San Francisco
10950,32,2202,75,1,San Francisco
11326,32,2202,75,1,San Francisco
11874,32,2202,75,1,San Francisco
12132,32,2202,75,1,San Francisco
12193,32,2202,75,1,San Francisco
12232,32,2202,75,1,San Francisco
12427,32,2202,75,1,San Francisco
12492,32,2202,75,1,San Francisco
12817,32,2202,75,1,San Francisco
13063,32,2202,75,1,San Francisco
13355,32,2202,75,1,San Francisco
13425,32,2202,75,1,San Francisco
15663,32,2202,75,1,San Francisco
17256,32,2202,75,1,San Francisco
17306,32,2202,75,1,San Francisco
10503,33,2202,75,1,San Francisco
11125,33,2202,75,1,San Francisco
12006,33,2202,75,1,San Francisco
12008,33,2202,75,1,San Francisco
12131,33,2202,75,1,San Francisco
12191,33,2202,75,1,San Francisco
12305,33,2202,75,1,San Francisco
13451,33,2202,75,1,San Francisco
14416,33,2202,75,1,San Francisco
14417,33,2202,75,1,San Francisco
14418,33,2202,75,1,San Francisco
17254,33,2202,75,1,San Francisco
17304,33,2202,75,1,San Francisco
17305,33,2202,75,1,San Francisco
17315,33,2202,75,1,San Francisco
17316,33,2202,75,1,San Francisco
10157,34,2202,75,1,San Francisco
10373,34,2202,75,1,San Francisco
10724,34,2202,75,1,San Francisco
11492,34,2202,75,1,San Francisco
12434,34,2202,75,1,San Francisco
12447,34,2202,75,1,San Francisco
12541,34,2202,75,1,San Francisco
13065,34,2202,75,1,San Francisco
15481,34,2202,75,1,San Francisco
15907,34,2202,75,1,San Francisco
15959,34,2202,75,1,San Francisco
15962,34,2202,75,1,San Francisco
15963,34,2202,75,1,San Francisco
15972,34,2202,75,1,San Francisco
16454,34,2202,75,1,San Francisco
17363,34,2202,75,1,San Francisco
10375,35,2202,75,1,San Francisco
11122,35,2202,75,1,San Francisco
12306,35,2202,75,1,San Francisco
12307,35,2202,75,1,San Francisco
12435,35,2202,75,1,San Francisco
12818,35,2202,75,1,San Francisco
12819,35,2202,75,1,San Francisco
12923,35,2202,75,1,San Francisco
12924,35,2202,75,1,San Francisco
13354,35,2202,75,1,San Francisco
13471,35,2202,75,1,San Francisco
13523,35,2202,75,1,San Francisco
13869,35,2202,75,1,San Francisco
14423,35,2202,75,1,San Francisco
11121,36,2202,75,1,San Francisco
11323,36,2202,75,1,San Francisco
11324,36,2202,75,1,San Francisco
12127,36,2202,75,1,San Francisco
12130,36,2202,75,1,San Francisco
13348,36,2202,75,1,San Francisco
13350,36,2202,75,1,San Francisco
13416,36,2202,75,1,San Francisco
13417,36,2202,75,1,San Francisco
14415,36,2202,75,1,San Francisco
17322,36,2202,75,1,San Francisco
17365,36,2202,75,1,San Francisco
12188,37,2202,75,1,San Francisco
12303,37,2202,75,1,San Francisco
12816,37,2202,75,1,San Francisco
13121,37,2202,75,1,San Francisco
13309,37,2202,75,1,San Francisco
13347,37,2202,75,1,San Francisco
13656,37,2202,75,1,San Francisco
13999,37,2202,75,1,San Francisco
14001,37,2202,75,1,San Francisco
14340,37,2202,75,1,San Francisco
14414,37,2202,75,1,San Francisco
15362,37,2202,75,1,San Francisco
10218,38,2202,75,1,San Francisco
10309,38,2202,75,1,San Francisco
10378,38,2202,75,1,San Francisco
11884,38,2202,75,1,San Francisco
12122,38,2202,75,1,San Francisco
12123,38,2202,75,1,San Francisco
12124,38,2202,75,1,San Francisco
12812,38,2202,75,1,San Francisco
12813,38,2202,75,1,San Francisco
12814,38,2202,75,1,San Francisco
13119,38,2202,75,1,San Francisco
13230,38,2202,75,1,San Francisco
13306,38,2202,75,1,San Francisco
13415,38,2202,75,1,San Francisco
13653,38,2202,75,1,San Francisco
13655,38,2202,75,1,San Francisco
13997,38,2202,75,1,San Francisco
14000,38,2202,75,1,San Francisco
15363,38,2202,75,1,San Francisco
15661,38,2202,75,1,San Francisco
16156,38,2202,75,1,San Francisco
17275,38,2202,75,1,San Francisco
10302,39,2202,75,1,San Francisco
10376,39,2202,75,1,San Francisco
11127,39,2202,75,1,San Francisco
11371,39,2202,75,1,San Francisco
11881,39,2202,75,1,San Francisco
12436,39,2202,75,1,San Francisco
12438,39,2202,75,1,San Francisco
12439,39,2202,75,1,San Francisco
12498,39,2202,75,1,San Francisco
12499,39,2202,75,1,San Francisco
13462,39,2202,75,1,San Francisco
13464,39,2202,75,1,San Francisco
13466,39,2202,75,1,San Francisco
13467,39,2202,75,1,San Francisco
13470,39,2202,75,1,San Francisco
16155,39,2202,75,1,San Francisco
17364,39,2202,75,1,San Francisco
10368,40,2202,75,1,San Francisco
10372,40,2202,75,1,San Francisco
10489,40,2202,75,1,San Francisco
10490,40,2202,75,1,San Francisco
10600,40,2202,75,1,San Francisco
10986,40,2202,75,1,San Francisco
10989,40,2202,75,1,San Francisco
10990,40,2202,75,1,San Francisco
11367,40,2202,75,1,San Francisco
11491,40,2202,75,1,San Francisco
11697,40,2202,75,1,San Francisco
11882,40,2202,75,1,San Francisco
11999,40,2202,75,1,San Francisco
12433,40,2202,75,1,San Francisco
13066,40,2202,75,1,San Francisco
14475,40,2202,75,1,San Francisco
15475,40,2202,75,1,San Francisco
15477,40,2202,75,1,San Francisco
15478,40,2202,75,1,San Francisco
15903,40,2202,75,1,San Francisco
15956,40,2202,75,1,San Francisco
15957,40,2202,75,1,San Francisco
15961,40,2202,75,1,San Francisco
16485,40,2202,75,1,San Francisco
17273,40,2202,75,1,San Francisco
17274,40,2202,75,1,San Francisco
17319,40,2202,75,1,San Francisco
17362,40,2202,75,1,San Francisco
10308,41,2202,75,1,San Francisco
10369,41,2202,75,1,San Francisco
10370,41,2202,75,1,San Francisco
10377,41,2202,75,1,San Francisco
11368,41,2202,75,1,San Francisco
11369,41,2202,75,1,San Francisco
11374,41,2202,75,1,San Francisco
11785,41,2202,75,1,San Francisco
11839,41,2202,75,1,San Francisco
11879,41,2202,75,1,San Francisco
12120,41,2202,75,1,San Francisco
12121,41,2202,75,1,San Francisco
12440,41,2202,75,1,San Francisco
12494,41,2202,75,1,San Francisco
12495,41,2202,75,1,San Francisco
12496,41,2202,75,1,San Francisco
13414,41,2202,75,1,San Francisco
13459,41,2202,75,1,San Francisco
13460,41,2202,75,1,San Francisco
13461,41,2202,75,1,San Francisco
13469,41,2202,75,1,San Francisco
13928,41,2202,75,1,San Francisco
14283,41,2202,75,1,San Francisco
17062,41,2202,75,1,San Francisco
17260,41,2202,75,1,San Francisco
17366,41,2202,75,1,San Francisco
17367,41,2202,75,1,San Francisco
10185,42,2202,75,1,San Francisco
10219,42,2202,75,1,San Francisco
11476,42,2202,75,1,San Francisco
10084,43,2202,75,1,San Francisco
10151,43,2202,75,1,San Francisco
10164,43,2202,75,1,San Francisco
10165,43,2202,75,1,San Francisco
11118,43,2202,75,1,San Francisco
12176,43,2202,75,1,San Francisco
12180,43,2202,75,1,San Francisco
13025,43,2202,75,1,San Francisco
13026,43,2202,75,1,San Francisco
13477,43,2202,75,1,San Francisco
13638,43,2202,75,1,San Francisco
13639,43,2202,75,1,San Francisco
13640,43,2202,75,1,San Francisco
16021,43,2202,75,1,San Francisco
16241,43,2202,75,1,San Francisco
16243,43,2202,75,1,San Francisco
16244,43,2202,75,1,San Francisco
16457,43,2202,75,1,San Francisco
16458,43,2202,75,1,San Francisco
16459,43,2202,75,1,San Francisco
16994,43,2202,75,1,San Francisco
16995,43,2202,75,1,San Francisco
16996,43,2202,75,1,San Francisco
17063,43,2202,75,1,San Francisco
17064,43,2202,75,1,San Francisco
17067,43,2202,75,1,San Francisco
17128,43,2202,75,1,San Francisco
17129,43,2202,75,1,San Francisco
10153,44,2202,75,1,San Francisco
10484,44,2202,75,1,San Francisco
10486,44,2202,75,1,San Francisco
10487,44,2202,75,1,San Francisco
10535,44,2202,75,1,San Francisco
10536,44,2202,75,1,San Francisco
10601,44,2202,75,1,San Francisco
10602,44,2202,75,1,San Francisco
11092,44,2202,75,1,San Francisco
11093,44,2202,75,1,San Francisco
11160,44,2202,75,1,San Francisco
11489,44,2202,75,1,San Francisco
12538,44,2202,75,1,San Francisco
13061,44,2202,75,1,San Francisco
13483,44,2202,75,1,San Francisco
13643,44,2202,75,1,San Francisco
14476,44,2202,75,1,San Francisco
14477,44,2202,75,1,San Francisco
14593,44,2202,75,1,San Francisco
14594,44,2202,75,1,San Francisco
14595,44,2202,75,1,San Francisco
14596,44,2202,75,1,San Francisco
14989,44,2202,75,1,San Francisco
15480,44,2202,75,1,San Francisco
16247,44,2202,75,1,San Francisco
16955,44,2202,75,1,San Francisco
17068,44,2202,75,1,San Francisco
17317,44,2202,75,1,San Francisco
10077,45,2202,75,1,San Francisco
10488,45,2202,75,1,San Francisco
10538,45,2202,75,1,San Francisco
10596,45,2202,75,1,San Francisco
10985,45,2202,75,1,San Francisco
11085,45,2202,75,1,San Francisco
11094,45,2202,75,1,San Francisco
11095,45,2202,75,1,San Francisco
11159,45,2202,75,1,San Francisco
11490,45,2202,75,1,San Francisco
12001,45,2202,75,1,San Francisco
12540,45,2202,75,1,San Francisco
12542,45,2202,75,1,San Francisco
12543,45,2202,75,1,San Francisco
13358,45,2202,75,1,San Francisco
14539,45,2202,75,1,San Francisco
15421,45,2202,75,1,San Francisco
15474,45,2202,75,1,San Francisco
15958,45,2202,75,1,San Francisco
16946,45,2202,75,1,San Francisco
16947,45,2202,75,1,San Francisco
16956,45,2202,75,1,San Francisco
17070,45,2202,75,1,San Francisco
17071,45,2202,75,1,San Francisco
10494,46,2202,75,1,San Francisco
10498,46,2202,75,1,San Francisco
10501,46,2202,75,1,San Francisco
10996,46,2202,75,1,San Francisco
11497,46,2202,75,1,San Francisco
11498,46,2202,75,1,San Francisco
12002,46,2202,75,1,San Francisco
12003,46,2202,75,1,San Francisco
12005,46,2202,75,1,San Francisco
12007,46,2202,75,1,San Francisco
12544,46,2202,75,1,San Francisco
12550,46,2202,75,1,San Francisco
12551,46,2202,75,1,San Francisco
15846,46,2202,75,1,San Francisco
15847,46,2202,75,1,San Francisco
15848,46,2202,75,1,San Francisco
15849,46,2202,75,1,San Francisco
15853,46,2202,75,1,San Francisco
15854,46,2202,75,1,San Francisco
15855,46,2202,75,1,San Francisco
15906,46,2202,75,1,San Francisco
15908,46,2202,75,1,San Francisco
15967,46,2202,75,1,San Francisco
15970,46,2202,75,1,San Francisco
15971,46,2202,75,1,San Francisco
10493,47,2202,75,1,San Francisco
10496,47,2202,75,1,San Francisco
10992,47,2202,75,1,San Francisco
10993,47,2202,75,1,San Francisco
11087,47,2202,75,1,San Francisco
11155,47,2202,75,1,San Francisco
11156,47,2202,75,1,San Francisco
11495,47,2202,75,1,San Francisco
11496,47,2202,75,1,San Francisco
14471,47,2202,75,1,San Francisco
14472,47,2202,75,1,San Francisco
14588,47,2202,75,1,San Francisco
15850,47,2202,75,1,San Francisco
16949,47,2202,75,1,San Francisco
16953,47,2202,75,1,San Francisco
10073,48,2202,75,1,San Francisco
10693,48,2202,75,1,San Francisco
10695,48,2202,75,1,San Francisco
10696,48,2202,75,1,San Francisco
10699,48,2202,75,1,San Francisco
11079,48,2202,75,1,San Francisco
11082,48,2202,75,1,San Francisco
11153,48,2202,75,1,San Francisco
11154,48,2202,75,1,San Francisco
11998,48,2202,75,1,San Francisco
12951,48,2202,75,1,San Francisco
13635,48,2202,75,1,San Francisco
14468,48,2202,75,1,San Francisco
14531,48,2202,75,1,San Francisco
14535,48,2202,75,1,San Francisco
14541,48,2202,75,1,San Francisco
14589,48,2202,75,1,San Francisco
16951,48,2202,75,1,San Francisco
16988,48,2202,75,1,San Francisco
16989,48,2202,75,1,San Francisco
17125,48,2202,75,1,San Francisco
10071,49,2202,75,1,San Francisco
10072,49,2202,75,1,San Francisco
10595,49,2202,75,1,San Francisco
10667,49,2202,75,1,San Francisco
10700,49,2202,75,1,San Francisco
10701,49,2202,75,1,San Francisco
10983,49,2202,75,1,San Francisco
10984,49,2202,75,1,San Francisco
10991,49,2202,75,1,San Francisco
11151,49,2202,75,1,San Francisco
11152,49,2202,75,1,San Francisco
11487,49,2202,75,1,San Francisco
11997,49,2202,75,1,San Francisco
12169,49,2202,75,1,San Francisco
14470,49,2202,75,1,San Francisco
14530,49,2202,75,1,San Francisco
14538,49,2202,75,1,San Francisco
14583,49,2202,75,1,San Francisco
14585,49,2202,75,1,San Francisco
14586,49,2202,75,1,San Francisco
14587,49,2202,75,1,San Francisco
15547,49,2202,75,1,San Francisco
15964,49,2202,75,1,San Francisco
15965,49,2202,75,1,San Francisco
16948,49,2202,75,1,San Francisco
17059,49,2202,75,1,San Francisco
17119,49,2202,75,1,San Francisco
10150,50,2202,75,1,San Francisco
10163,50,2202,75,1,San Francisco
10167,50,2202,75,1,San Francisco
10666,50,2202,75,1,San Francisco
10982,50,2202,75,1,San Francisco
11485,50,2202,75,1,San Francisco
11486,50,2202,75,1,San Francisco
11664,50,2202,75,1,San Francisco
11754,50,2202,75,1,San Francisco
12178,50,2202,75,1,San Francisco
12179,50,2202,75,1,San Francisco
12539,50,2202,75,1,San Francisco
13024,50,2202,75,1,San Francisco
13027,50,2202,75,1,San Francisco
