TAZ,"Less than $30,000","$30,000 to $59,999","$60,000 to $99,999","$100,000 or more"
1,18,4,1,2
2,95,23,10,7
3,189,48,21,12
4,50,12,5,5
5,355,91,40,24
6,1172,651,244,127
7,2615,691,266,85
8,3736,322,154,27
9,3753,769,380,50
10,1140,309,233,109
11,1608,445,329,148
12,244,186,126,254
13,3,1,0,2
14,40,30,20,43
15,81,62,41,85
16,440,298,466,729
17,826,568,875,1365
18,223,154,172,499
19,96,66,74,215
20,1066,252,135,166
21,1842,430,234,287
22,283,245,228,416
23,122,107,99,182
24,554,43,7,14
25,1317,131,44,25
26,505,97,78,15
27,1049,224,118,136
28,528,273,325,732
29,1206,765,655,469
30,2440,1003,529,209
31,1567,561,303,115
32,1544,808,391,330
33,996,553,507,419
34,790,450,572,816
35,768,537,371,662
36,2040,338,219,181
37,983,385,409,238
38,621,421,714,723
39,564,359,569,534
40,607,412,551,974
41,854,391,467,378
42,126,121,164,246
43,655,534,661,1370
44,730,790,908,1157
45,387,335,493,1194
46,844,621,945,1561
47,207,246,355,814
48,358,359,403,859
49,99,165,271,1725
50,210,324,368,1461
51,353,342,471,932
52,209,253,320,328
53,26,3,5,0
54,689,588,809,584
55,375,383,403,347
56,15,11,5,31
57,8,10,63,853
58,751,448,677,476
59,799,854,814,664
60,421,389,361,383
61,710,423,440,296
62,790,715,806,779
63,535,546,572,520
64,893,660,467,715
65,557,687,364,744
66,657,345,417,444
67,637,571,432,510
68,291,317,273,391
69,767,551,615,642
70,701,522,657,959
71,34,79,158,1616
72,224,199,217,317
73,853,455,519,603
74,1085,444,349,298
75,505,325,387,438
76,633,318,389,293
77,1013,548,427,297
78,1912,375,254,215
79,653,570,242,129
80,841,424,473,309
81,1099,963,800,576
82,391,377,417,404
83,381,385,489,870
84,470,505,638,664
85,560,430,474,347
86,1159,705,740,522
87,828,591,421,504
88,628,508,538,806
89,545,684,912,1274
90,491,496,502,508
91,478,426,559,740
92,245,149,245,332
93,601,780,1386,1267
94,290,308,329,398
95,199,225,362,610
96,139,232,283,517
97,411,254,320,634
98,405,367,473,618
99,556,638,415,396
100,706,458,357,221
101,1163,616,514,250
102,651,762,818,487
103,582,458,722,832
104,404,387,442,428
105,1388,772,664,404
106,1821,503,378,246
107,98,245,247,154
108,233,109,11,84
109,1580,748,82,572
110,511,238,26,187
111,76,110,178,451
112,128,189,174,490
113,877,448,377,636
114,310,322,335,660
115,167,104,128,194
116,529,363,566,392
117,452,562,307,210
118,448,384,309,269
119,254,134,313,101
120,278,238,282,320
121,301,267,288,413
122,435,463,666,561
123,473,371,540,383
124,476,307,226,267
125,263,202,361,234
126,593,266,382,195
127,363,210,494,701
128,537,571,660,681
129,342,410,451,823
130,408,368,467,589
131,508,381,673,1055
132,271,208,267,525
133,552,485,726,699
134,721,603,698,447
135,322,494,353,350
136,261,271,208,215
137,405,301,449,403
138,856,657,682,365
139,502,262,308,240
140,357,287,298,212
141,353,174,125,44
142,52,20,47,27
143,209,106,88,16
144,686,176,265,95
145,998,122,61,21
146,39,51,45,19
147,524,274,257,173
148,528,185,171,80
149,359,212,278,301
150,196,138,193,93
151,187,145,116,124
152,310,276,414,327
153,314,264,317,213
154,358,251,360,93
155,294,318,236,168
156,139,282,121,129
157,698,139,72,52
158,66,16,110,31
159,362,392,386,308
160,346,325,408,235
161,349,350,245,200
162,371,372,274,256
163,366,365,312,190
164,407,495,564,441
165,513,486,471,407
166,593,816,682,486
167,523,432,570,266
168,921,738,894,485
169,400,243,479,1223
170,416,287,446,996
171,142,97,144,482
172,409,254,459,811
173,306,156,415,497
174,543,516,615,688
175,668,412,505,499
176,511,479,539,313
177,904,767,979,747
178,736,521,497,637
179,651,669,621,777
180,598,462,400,304
181,534,377,569,385
182,650,583,732,412
183,727,590,648,493
184,800,605,763,845
185,816,653,797,614
186,562,551,779,806
187,300,249,433,460
188,343,137,75,92
189,1135,818,704,419
190,292,273,235,201
191,424,229,393,403
192,960,758,600,298
193,446,448,788,454
194,249,426,633,618
195,337,362,627,551
196,377,438,717,461
197,75,161,455,642
198,495,433,546,248
199,243,322,380,213
200,254,310,291,178
201,630,714,595,370
202,272,448,701,720
203,317,347,472,300
204,466,466,557,531
205,192,416,781,953
206,106,256,493,385
207,347,245,308,189
208,563,482,445,544
209,320,443,843,879
210,262,279,308,109
211,895,877,455,285
212,132,214,353,359
213,569,602,806,676
214,348,368,791,505
215,488,467,688,501
216,339,320,477,346
217,205,277,509,323
218,190,263,752,655
219,230,264,628,567
220,172,389,614,511
221,256,330,498,391
222,222,514,557,507
223,262,481,609,520
224,165,192,386,492
225,178,274,547,427
226,357,428,945,894
227,215,260,581,814
228,0,317,0,0
229,149,236,447,529
230,151,394,1125,1018
231,148,224,442,628
232,98,255,626,775
233,559,647,917,1063
234,181,409,521,194
235,213,219,307,403
236,574,491,631,384
237,711,583,944,281
238,292,338,311,141
239,0,0,0,0
240,528,475,446,196
241,275,204,393,434
242,185,169,266,299
243,115,137,291,433
244,460,397,486,563
245,170,165,333,598
246,341,460,585,1447
247,311,248,231,503
248,349,353,360,314
249,479,495,722,870
250,271,319,467,855
251,484,612,720,892
252,15,24,100,1752
253,58,75,139,753
254,2,9,55,1572
255,205,253,244,636
256,584,462,616,978
257,406,437,484,535
258,581,717,713,551
259,505,604,586,503
260,595,617,656,339
261,288,311,375,375
262,159,221,421,389
263,50,116,361,253
264,172,224,317,236
265,258,295,457,747
266,413,466,862,1156
267,106,198,211,378
268,144,282,478,791
269,167,268,383,517
270,94,265,394,715
271,163,215,296,724
272,93,81,243,396
273,86,191,337,903
274,579,699,567,308
275,314,350,616,516
276,123,249,404,424
