TAZ,"Less than $30,000","$30,000 to $59,999","$60,000 to $99,999","$100,000 or more"
277,288,337,477,646
278,618,350,269,309
279,179,318,354,386
280,238,290,422,481
281,406,384,529,545
282,165,209,222,369
283,289,262,223,538
284,497,424,491,353
285,216,176,248,477
286,207,459,698,1314
287,271,154,308,340
288,445,594,566,1399
289,267,412,474,1005
290,301,128,386,565
291,211,175,338,698
292,112,118,257,378
293,151,308,641,1074
294,426,270,555,1038
295,187,207,414,502
296,497,441,817,1493
297,362,314,358,562
298,9,22,100,2427
299,6,23,40,1101
300,4,17,81,924
301,177,221,512,1347
302,51,64,219,1242
303,164,286,399,844
304,162,211,473,1264
305,29,115,173,344
306,194,158,203,655
307,325,212,337,888
308,136,155,299,525
309,628,752,901,1149
310,49,80,171,279
311,265,286,442,707
312,156,186,690,2013
313,357,153,189,127
314,528,342,558,282
315,304,274,140,53
316,209,205,269,201
317,603,478,442,485
318,231,253,308,490
319,132,141,205,576
320,353,473,788,635
321,98,193,305,473
322,257,344,591,757
323,486,538,454,538
324,592,484,379,135
325,489,578,748,539
326,276,404,206,62
327,378,469,338,332
328,221,194,338,401
329,373,253,427,173
330,227,411,589,374
331,390,337,377,280
332,224,185,289,168
333,1044,547,574,361
334,417,358,456,309
335,1007,652,424,321
336,324,340,424,616
337,2,9,55,434
338,70,90,181,413
339,0,3,11,947
340,345,207,464,1008
341,376,363,557,873
342,63,71,188,1050
343,20,45,87,635
344,33,57,112,963
345,114,207,266,1100
346,243,272,243,804
347,219,254,386,1974
348,2,4,5,34
349,20,24,37,193
350,235,140,156,328
351,587,346,390,817
352,206,127,65,8
353,1237,327,176,73
354,281,258,77,111
355,865,330,351,319
356,1690,628,727,1043
357,301,175,297,1004
358,280,279,380,957
359,94,126,184,970
360,565,321,356,790
361,591,346,673,787
362,378,360,395,815
363,313,175,253,290
364,225,72,104,203
365,636,372,429,269
366,678,456,406,426
367,730,405,436,805
368,55,73,137,1162
369,286,297,255,1042
370,400,266,309,673
371,237,152,226,543
372,963,472,588,464
373,398,134,290,390
374,299,323,271,321
375,795,347,377,314
376,581,372,456,403
377,578,562,591,532
378,300,274,376,333
379,674,587,599,387
380,802,579,419,230
381,662,503,387,638
382,315,218,214,345
383,156,130,175,285
384,223,200,237,769
385,171,132,162,544
386,128,84,204,662
387,196,232,183,653
388,343,265,358,1117
389,627,224,330,665
390,409,341,339,364
391,805,609,763,834
392,456,427,683,325
393,460,418,534,322
394,524,302,259,276
395,490,380,584,777
396,1,0,1,2
397,143,104,203,196
398,275,200,394,379
399,0,0,0,0
400,577,496,463,316
401,165,98,62,22
402,0,116,51,15
403,0,9,5,1
404,205,153,131,82
405,5,3,4,3
406,100,70,60,40
407,35,24,21,16
408,0,0,1,3
409,0,0,0,0
410,257,219,481,623
411,0,0,0,0
412,1411,1140,1302,1070
413,909,572,1515,966
414,184,239,264,273
415,133,92,161,230
416,628,430,755,1090
417,0,0,0,0
418,187,111,234,119
419,315,190,394,201
420,191,166,300,202
421,855,502,480,341
422,1009,446,599,413
423,494,426,431,308
424,735,686,638,412
425,379,364,363,289
426,322,282,498,364
427,18,15,28,21
428,146,125,226,164
429,0,0,0,0
430,3,1,2,0
431,1,0,0,0
432,58,27,22,14
433,908,455,359,230
434,14,6,8,7
435,576,257,322,220
436,566,372,358,298
437,659,500,568,376
438,451,257,408,304
439,366,274,259,226
440,670,625,854,488
441,841,426,613,495
442,259,253,265,292
443,394,389,330,210
444,476,456,589,515
445,1104,704,741,675
446,831,775,641,746
447,307,338,675,586
448,1086,548,850,650
449,873,483,736,662
450,711,299,444,302
451,500,444,598,765
452,167,192,232,447
453,614,486,641,791
454,276,248,313,697
455,177,163,140,437
456,949,561,770,667
457,371,348,371,702
458,335,345,325,449
459,729,355,733,976
460,204,237,408,410
461,370,369,499,463
462,422,282,472,465
463,365,326,448,401
464,535,265,537,506
465,1154,626,628,639
466,494,324,356,339
467,853,370,376,316
468,720,699,421,377
469,960,749,586,205
470,597,589,662,639
471,858,604,550,315
472,700,509,528,334
473,1036,650,541,263
474,425,440,317,346
475,569,389,463,272
476,654,556,504,791
477,589,452,528,540
478,666,575,728,450
479,687,527,708,905
480,205,142,192,556
481,252,289,411,667
482,300,277,260,588
483,660,369,498,581
484,753,347,652,980
485,611,341,435,899
486,465,345,474,711
487,550,371,525,529
488,470,378,647,1246
489,289,207,314,1244
490,263,123,260,716
491,236,242,215,336
492,324,271,432,733
493,344,173,280,1118
494,334,242,271,1142
495,299,116,293,1283
496,37,33,88,860
497,538,226,322,1377
498,292,218,244,709
499,684,478,690,714
500,271,270,305,503
501,341,182,423,453
502,474,426,449,292
503,1248,573,548,262
504,607,543,426,344
505,452,417,546,617
506,515,210,318,375
507,447,226,293,907
508,286,110,289,396
509,365,228,308,446
510,179,153,150,501
511,776,599,503,1086
512,208,296,380,734
513,104,169,144,601
514,408,412,640,1196
515,815,439,465,669
516,223,289,300,534
517,380,436,576,511
518,428,472,510,837
519,906,569,847,809
520,450,230,317,393
521,592,370,520,465
522,610,459,580,544
523,569,407,790,809
524,569,285,512,551
525,420,319,380,465
526,722,393,600,723
527,771,573,643,827
528,772,574,592,646
529,374,220,252,322
530,906,746,989,583
531,359,310,361,349
532,1088,861,478,243
533,893,752,656,298
534,607,378,496,427
535,981,432,405,186
536,776,399,218,107
537,1225,482,279,137
538,535,273,185,88
539,75,38,26,12
540,660,397,404,612
541,660,393,415,511
542,360,226,188,176
543,520,359,286,287
544,956,507,496,336
545,667,237,245,105
546,907,485,349,258
547,991,518,449,120
548,1368,650,638,384
549,1279,359,238,110
550,614,346,280,124
551,803,482,396,121
552,562,290,206,77
553,454,314,182,136
554,564,225,234,325
555,1603,431,266,176
556,386,153,69,21
557,1109,295,291,216
558,782,270,103,150
559,550,458,359,299
560,657,235,255,80
561,546,426,270,213
562,675,285,199,117
563,2025,1075,786,296
564,1049,617,524,549
565,563,488,608,470
566,934,799,544,200
567,919,661,357,155
568,887,496,519,230
569,299,363,271,81
570,455,260,250,137
571,294,182,277,164
572,306,168,271,181
573,223,165,290,311
574,524,324,250,91
575,175,128,310,313
576,206,258,340,296
577,306,273,322,162
578,845,547,756,192
579,354,252,105,45
580,519,300,162,81
581,434,297,223,152
582,632,536,490,100
583,417,271,434,283
584,265,216,239,144
585,246,281,223,186
586,321,278,357,201
587,94,55,157,66
588,455,257,273,242
589,349,335,341,293
590,341,166,237,143
591,849,422,400,230
592,527,317,259,143
593,425,222,159,43
594,415,415,296,211
595,1340,508,370,74
596,256,186,179,103
597,722,290,269,79
598,273,334,629,746
599,237,222,498,407
600,220,216,342,411
601,332,283,690,990
602,227,231,161,41
603,22,22,16,4
604,288,293,205,52
605,997,629,1091,1087
606,230,256,465,307
607,498,671,603,310
608,132,179,161,83
609,75,298,302,776
610,233,67,174,198
611,441,318,494,402
612,628,383,501,563
613,337,140,298,222
614,243,231,336,506
615,209,275,330,523
616,348,293,294,337
617,396,384,333,160
618,113,139,270,219
619,233,192,430,647
620,63,191,392,410
621,325,246,325,295
622,210,306,463,516
623,307,355,796,605
624,120,113,249,341
625,325,338,511,336
626,159,169,458,359
627,401,336,493,479
628,308,269,350,533
629,472,275,398,452
630,806,475,556,376
631,174,307,375,473
632,425,274,471,310
633,923,533,512,334
634,578,340,420,122
635,375,252,232,131
636,393,408,310,168
637,235,246,305,707
638,339,271,343,272
639,424,321,313,245
640,240,164,273,128
641,202,172,244,229
642,216,210,215,366
643,113,162,405,314
644,125,106,222,612
645,98,234,481,352
646,146,98,302,336
647,257,137,318,544
648,142,341,436,784
649,242,175,359,313
650,434,377,689,419
651,339,442,604,378
652,198,208,490,464
653,185,260,542,1992
654,1139,838,743,1088
655,496,491,663,2158
656,178,259,503,1046
657,455,473,863,518
658,248,186,301,502
659,258,170,383,299
660,201,182,341,283
661,425,299,533,699
662,132,253,503,482
663,94,120,327,420
664,100,369,1158,1006
665,372,554,713,606
666,670,477,373,221
667,458,590,509,284
668,435,400,569,591
669,1000,471,621,233
670,444,437,676,468
671,705,549,754,541
672,265,349,481,420
673,282,366,497,323
674,349,300,508,646
675,333,293,546,526
676,883,810,889,641
677,581,367,316,271
678,49,124,229,486
679,450,328,455,420
680,378,456,758,561
681,437,257,309,273
682,313,323,489,640
683,341,193,381,404
684,454,579,636,690
685,418,347,461,389
686,583,422,602,374
687,455,343,438,224
688,1061,448,659,693
689,110,175,310,832
690,263,255,396,1040
691,128,89,202,610
692,203,140,251,484
693,234,144,345,597
694,144,246,254,1072
695,176,204,564,1662
696,403,304,370,745
697,185,108,104,123
698,184,217,691,1111
699,308,177,395,779
700,1289,570,787,635
701,530,368,623,710
702,1158,664,656,545
703,228,153,271,628
704,310,257,224,447
705,954,781,1075,685
706,398,222,156,141
707,1035,574,317,113
708,964,625,581,344
709,678,362,440,220
710,698,518,580,242
711,138,391,863,1000
712,368,340,390,328
713,402,315,311,506
714,133,72,74,98
715,258,345,941,778
716,565,370,496,321
717,558,431,585,480
718,490,436,904,963
719,526,528,825,612
720,120,194,465,458
721,440,376,615,825
722,699,770,1016,336
723,313,378,495,571
724,635,576,839,677
725,70,202,335,715
726,412,631,875,889
727,285,206,403,229
728,419,396,799,743
729,398,734,919,1823
730,206,553,989,1325
731,376,368,779,400
732,215,300,595,437
733,310,531,702,498
734,311,355,817,1254
735,64,212,359,628
736,282,456,917,1535
737,188,216,564,547
738,145,257,451,1089
739,704,605,594,333
740,159,242,421,539
741,138,301,421,810
742,394,730,1053,1291
743,388,470,929,1433
744,494,313,419,538
745,278,290,546,667
746,191,312,367,1737
747,21,32,97,1021
748,147,177,335,563
749,403,546,522,570
750,0,110,224,224
751,0,22,44,44
752,16,33,95,96
753,126,80,353,851
754,15,39,108,1004
755,413,328,777,1566
756,368,410,555,775
757,65,239,323,168
758,371,409,611,429
759,372,421,830,680
760,348,398,748,418
761,982,846,931,527
762,183,303,427,334
763,872,685,1065,477
764,531,457,699,480
765,148,251,194,316
766,218,226,340,262
767,466,616,1025,813
768,445,555,640,693
769,250,512,1422,1428
770,307,504,684,432
771,587,445,593,800
772,378,336,506,211
773,394,554,675,314
774,696,623,764,502
775,637,651,793,841
776,482,569,789,470
777,625,514,630,268
778,818,1210,2012,1300
779,169,238,457,764
780,64,126,243,564
781,381,267,382,605
782,582,404,864,646
783,167,259,313,423
784,365,367,479,603
785,549,525,700,445
786,182,305,555,366
787,414,594,626,637
788,336,273,534,616
789,267,284,411,507
790,190,259,461,809
791,175,223,362,227
792,95,179,411,315
793,370,246,407,260
794,58,47,258,505
795,192,284,250,173
796,147,281,679,687
797,457,391,736,522
798,492,340,489,234
799,283,256,464,691
800,571,354,577,449
801,675,608,1309,982
802,462,388,383,201
803,146,236,259,234
804,235,271,352,231
805,416,559,630,520
806,1096,654,848,430
807,348,268,385,194
808,214,197,341,125
809,226,167,234,102
810,813,966,964,454
811,730,568,665,364
812,226,416,374,180
813,230,244,302,107
814,251,254,238,182
815,502,369,227,30
816,300,207,250,137
817,858,782,336,59
818,305,335,461,206
819,239,228,117,82
820,799,909,929,1221
821,303,368,445,529
822,144,100,286,457
823,904,685,649,418
824,620,477,503,177
825,684,520,389,197
826,733,458,267,141
827,455,346,348,169
828,868,650,460,175
829,265,362,297,80
830,595,543,552,130
831,476,348,329,49
832,748,324,496,165
833,356,420,474,186
834,383,435,438,253
835,446,459,476,236
836,545,382,365,158
837,1250,1120,633,161
838,688,404,239,68
839,906,524,364,140
840,695,834,716,269
841,472,461,470,223
842,438,409,298,150
843,279,331,412,393
844,333,348,972,1601
845,342,472,773,857
846,564,649,582,302
847,497,284,248,129
848,612,593,428,152
849,269,308,387,378
850,231,239,332,362
851,91,132,209,315
852,376,442,595,688
853,464,584,654,318
854,1040,657,356,148
855,891,412,265,108
856,1000,642,549,234
857,301,374,266,63
858,828,535,580,224
859,441,291,424,231
860,467,631,600,538
861,723,527,565,340
862,1073,717,720,224
863,446,376,359,152
864,1386,950,599,192
865,492,384,340,195
866,365,297,367,396
867,270,201,295,247
868,450,337,433,219
869,667,354,359,301
870,598,548,388,170
871,1233,961,531,142
872,907,910,695,347
873,571,552,480,219
874,0,0,0,0
875,611,180,139,55
876,356,143,53,49
877,409,169,202,58
878,792,345,194,47
879,563,296,288,88
880,418,224,174,76
881,542,206,237,42
882,421,235,194,49
883,294,186,299,358
884,222,219,399,533
885,438,380,649,1074
886,574,408,415,256
887,455,159,324,183
888,859,360,171,47
889,606,299,142,33
890,816,431,184,45
891,824,363,179,36
892,516,319,186,73
893,506,193,87,16
894,572,247,106,35
895,1130,318,172,71
896,447,188,88,15
897,653,232,129,67
898,778,234,125,59
899,1332,620,318,98
900,854,486,197,57
901,874,354,298,112
902,255,172,224,64
903,688,336,460,229
904,1079,413,391,139
905,1093,531,465,177
906,1048,580,245,132
907,283,254,320,248
908,394,467,324,303
909,478,312,318,262
910,530,457,761,454
911,138,171,280,407
912,180,195,473,952
913,330,343,657,1113
914,257,405,524,1093
915,218,207,278,634
916,194,225,351,597
917,291,232,340,822
918,35,40,197,1844
919,91,72,133,392
920,105,80,172,453
921,492,228,319,177
922,638,397,394,454
923,1308,692,456,121
924,1017,456,273,107
925,1114,458,169,110
926,797,370,233,62
927,723,361,127,83
928,800,298,128,74
929,714,291,176,30
930,217,182,203,108
931,688,368,180,43
932,703,240,180,100
933,1220,430,223,82
934,1745,580,249,94
935,770,406,249,60
936,678,325,210,140
937,405,268,371,415
938,259,183,332,805
939,559,565,362,372
940,755,722,450,160
941,958,741,392,184
942,1179,831,568,201
943,854,733,488,323
944,1560,645,452,226
945,1708,634,296,75
946,1373,405,195,81
947,924,305,139,151
948,689,399,332,175
949,364,239,240,548
950,659,413,498,380
951,706,799,644,466
952,483,557,751,646
953,333,315,585,1428
954,669,582,372,240
955,513,438,302,76
956,727,616,446,301
957,517,287,340,286
958,473,402,487,334
959,709,550,439,294
960,833,403,427,419
961,365,333,184,50
962,840,481,317,74
963,703,479,517,405
964,7,48,122,66
965,87,62,82,8
966,13,0,20,0
967,0,0,118,169
968,1212,185,60,43
969,547,71,51,32
970,1795,107,48,75
971,727,136,52,6
972,2239,1008,559,179
973,651,531,308,212
974,1471,739,661,317
975,489,267,316,144
976,1142,488,271,106
977,1335,541,401,92
978,1090,186,74,46
979,1288,216,77,51
980,409,112,45,38
981,482,89,42,5
982,526,64,66,17
983,764,158,78,28
984,99,117,52,21
985,463,68,19,9
986,462,81,83,6
987,400,87,77,73
988,630,197,171,35
989,526,120,95,24
990,619,215,60,46
991,2400,1375,1143,761
992,620,188,156,54
993,873,312,250,154
994,448,275,116,46
995,803,339,171,107
996,1013,340,296,106
997,289,192,135,74
998,819,492,560,547
999,178,142,256,280
1000,497,484,459,334
1001,751,334,312,187
1002,365,204,213,101
1003,271,128,172,179
1004,212,200,219,617
1005,180,129,208,797
1006,679,186,197,333
1007,848,207,81,167
1008,1328,136,77,20
1009,1792,362,234,124
1010,425,245,276,244
1011,776,363,191,149
1012,962,443,369,222
1013,830,385,302,104
1014,332,143,127,65
1015,595,257,146,79
1016,936,383,387,142
1017,805,539,414,313
1018,1570,234,205,70
1019,12,0,0,0
1020,937,208,259,171
1021,1245,390,382,181
1022,629,464,295,273
1023,682,321,340,184
1024,518,318,195,83
1025,551,385,447,306
1026,228,232,214,212
1027,566,335,321,352
1028,301,256,310,722
1029,280,142,369,732
1030,86,130,169,457
1031,113,199,230,922
1032,39,57,197,370
1033,317,226,371,758
1034,296,240,407,340
1035,231,199,262,196
1036,410,340,298,169
1037,280,298,244,110
1038,778,196,114,6
1039,740,418,514,315
1040,366,242,134,29
1041,319,250,194,108
1042,212,131,246,183
1043,220,182,270,412
1044,101,130,264,472
1045,210,239,209,482
1046,210,211,228,276
1047,344,322,318,149
1048,417,372,221,132
1049,721,576,512,193
1050,1356,591,492,149
1051,540,300,401,161
1052,101,116,170,179
1053,328,423,365,495
1054,290,331,282,191
1055,658,600,448,174
1056,820,561,238,93
1057,620,333,112,41
1058,728,633,437,128
1059,769,561,767,509
1060,1146,392,169,65
1061,1245,499,351,42
1062,424,483,495,389
1063,1215,300,209,62
1064,547,308,170,79
1065,912,580,574,180
1066,1371,460,347,103
1067,1029,614,438,111
1068,1035,279,116,38
1069,1236,1349,869,437
1070,508,309,227,189
1071,662,501,432,104
1072,738,363,328,76
1073,748,505,471,176
1074,766,713,834,310
1075,356,297,242,95
1076,346,321,270,228
1077,672,397,397,349
1078,559,442,440,198
1079,616,578,1083,887
1080,404,581,583,230
1081,514,356,377,184
1082,450,549,594,222
1083,1221,1572,1465,987
1084,340,451,805,649
1085,177,133,594,534
1086,377,489,894,537
1087,183,374,699,847
1088,154,178,483,336
1089,791,464,436,213
1090,537,329,317,249
1091,587,431,346,167
1092,275,142,38,3
1093,393,294,206,64
1094,699,793,980,520
1095,423,348,364,69
1096,766,786,1046,911
1097,131,214,520,255
1098,268,521,906,617
1099,502,797,814,811
1100,395,481,874,1282
1101,197,201,379,615
1102,63,29,89,220
1103,512,623,758,853
1104,101,163,483,517
1105,76,109,123,116
1106,895,861,820,528
1107,510,368,445,176
1108,392,538,706,422
1109,690,668,892,482
1110,756,684,762,444
1111,482,536,626,232
1112,673,625,646,283
1113,909,250,126,30
1114,1327,745,337,71
1115,680,408,245,97
1116,274,304,407,233
1117,146,264,334,414
1118,941,724,757,537
1119,876,665,909,667
1120,1307,777,456,137
1121,1905,984,1303,721
1122,1223,811,528,106
1123,664,516,739,314
1124,456,613,863,593
1125,304,370,550,612
1126,312,434,713,1238
1127,417,530,773,812
1128,239,476,517,394
1129,459,492,725,498
1130,214,192,426,529
1131,198,271,521,1496
1132,157,169,241,848
1133,428,568,741,1182
1134,620,572,677,440
1135,658,683,829,563
1136,608,623,767,524
1137,279,210,444,473
1138,311,397,610,924
1139,97,102,190,816
1140,130,212,226,523
1141,380,369,468,923
1142,194,218,411,643
1143,542,396,517,539
1144,511,384,536,622
1145,1016,938,867,292
1146,601,554,513,173
1147,526,298,511,887
1148,2782,1467,1168,520
1149,415,372,567,665
1150,395,373,418,720
1151,161,232,590,1062
1152,513,446,582,894
1153,126,139,323,888
1154,109,103,253,2060
1155,100,100,148,354
1156,188,200,252,659
1157,134,151,264,474
1158,409,489,552,818
1159,111,82,184,442
1160,219,221,372,1001
1161,505,633,732,2028
1162,92,63,103,198
1163,156,138,270,727
1164,206,79,257,1431
1165,342,225,332,1699
1166,220,360,704,2625
1167,367,407,824,2378
1168,223,476,999,1544
1169,273,345,648,983
1170,383,728,1006,1126
1171,130,269,654,1703
1172,126,458,684,755
1173,161,162,388,573
1174,379,273,376,855
1175,418,551,1216,1977
1176,666,838,1903,9317
1177,1052,1157,1808,2482
1178,2028,2496,4494,3438
1179,1799,1656,1380,679
1180,1047,1144,1323,555
1181,710,366,353,157
1182,656,883,1282,590
1183,314,238,334,159
1184,102,274,477,415
1185,306,1089,2082,1110
1186,500,909,1995,1634
1187,521,579,838,470
1188,1113,840,567,295
1189,1246,598,306,95
1190,708,401,213,26
1191,678,477,382,152
1192,250,402,378,266
1193,900,639,682,198
1194,360,319,542,251
1195,490,917,2006,1669
1196,701,595,810,408
1197,450,316,267,73
1198,426,417,394,116
1199,1333,514,562,187
1200,692,723,837,426
1201,372,311,364,107
1202,281,236,276,80
1203,567,469,284,96
1204,438,107,117,83
1205,265,241,336,175
1206,812,480,263,58
1207,476,501,503,187
1208,960,520,492,224
1209,569,448,367,198
1210,694,485,406,78
1211,457,375,440,290
1212,743,511,480,539
1213,337,236,385,283
1214,215,360,412,416
1215,340,404,453,452
1216,98,251,420,507
1217,56,170,583,918
1218,136,289,633,864
1219,215,296,403,217
1220,268,600,936,951
1221,484,388,390,189
1222,348,339,284,150
1223,546,282,148,35
1224,975,151,125,31
1225,576,262,166,72
1226,486,379,164,43
1227,328,391,326,125
1228,110,165,284,163
1229,512,485,298,136
1230,560,483,697,592
1231,313,344,274,164
1232,532,272,223,55
1233,269,364,356,194
1234,684,353,207,68
1235,617,245,79,33
1236,608,437,268,61
1237,343,289,234,57
1238,171,31,48,0
1239,159,188,488,199
1240,133,356,630,250
1241,745,288,127,63
1242,700,624,490,277
1243,655,407,488,179
1244,440,367,549,224
1245,172,235,685,444
1246,410,674,1237,1143
1247,81,508,1514,943
1248,433,388,998,1199
1249,225,360,755,296
1250,678,469,413,127
1251,623,454,776,434
1252,230,328,223,50
1253,63,322,632,167
1254,324,472,724,291
1255,411,541,559,158
1256,558,514,460,146
1257,366,750,799,182
1258,550,388,219,60
1259,947,372,277,60
1260,596,234,227,68
1261,244,341,436,177
1262,343,146,52,32
1263,439,240,182,39
1264,858,554,342,71
1265,476,367,226,84
1266,473,466,326,101
1267,167,330,426,329
1268,727,713,1202,1528
1269,802,957,1113,726
1270,832,1047,1617,1006
1271,819,948,1704,999
1272,0,0,0,0
1273,358,494,459,206
1274,806,691,589,169
1275,343,432,342,159
1276,287,427,371,200
1277,90,363,873,628
1278,168,273,428,209
1279,499,334,559,405
1280,1482,1169,1230,786
1281,1010,662,522,184
1282,1102,890,1212,1061
1283,489,450,454,136
1284,664,541,491,285
1285,264,338,712,504
1286,300,346,443,474
1287,265,266,235,156
1288,729,947,1303,683
1289,789,741,542,182
1290,1480,1147,684,471
1291,1552,771,656,213
1292,444,731,1208,383
1293,680,587,462,443
1294,0,0,22,0
1295,862,726,670,317
1296,451,362,362,392
1297,1087,945,775,393
1298,344,169,109,69
1299,527,328,144,81
1300,320,257,215,53
1301,480,358,329,126
1302,716,666,575,434
1303,182,155,306,512
1304,836,682,744,334
1305,752,422,414,62
1306,859,842,1117,621
1307,333,652,762,723
1308,352,276,419,557
1309,663,474,451,388
1310,396,254,202,198
1311,514,444,649,1233
1312,157,272,188,108
1313,392,476,431,515
1314,651,536,657,557
1315,190,158,140,298
1316,133,123,90,234
1317,866,524,396,233
1318,495,517,649,409
1319,1193,865,868,432
1320,891,701,463,383
1321,672,538,584,261
1322,691,493,451,498
1323,1413,842,817,672
1324,306,269,211,194
1325,448,654,906,1049
1326,330,316,523,587
1327,527,580,493,365
1328,529,397,430,481
1329,361,368,309,347
