Region,Age,2010 Person By Age
Alameda County,Age 0,19010
Alameda County,Age 1,19434
Alameda County,Age 2,20168
Alameda County,Age 3,19655
Alameda County,Age 4,19385
Alameda County,Age 5,19300
Alameda County,Age 6,19248
Alameda County,Age 7,18777
Alameda County,Age 8,18454
Alameda County,Age 9,18767
Alameda County,Age 10,18236
Alameda County,Age 11,17928
Alameda County,Age 12,18095
Alameda County,Age 13,18269
Alameda County,Age 14,18542
Alameda County,Age 15,18855
Alameda County,Age 16,19119
Alameda County,Age 17,19379
Alameda County,Age 18,21152
Alameda County,Age 19,21889
Alameda County,Age 20,22175
Alameda County,Age 21,21906
Alameda County,Age 22,20984
Alameda County,Age 23,20809
Alameda County,Age 24,21175
Alameda County,Age 25,22504
Alameda County,Age 26,21895
Alameda County,Age 27,22741
Alameda County,Age 28,23445
Alameda County,Age 29,23012
Alameda County,Age 30,25456
Alameda County,Age 31,21823
Alameda County,Age 32,22721
Alameda County,Age 33,22194
Alameda County,Age 34,22413
Alameda County,Age 35,23959
Alameda County,Age 36,21955
Alameda County,Age 37,22655
Alameda County,Age 38,22781
Alameda County,Age 39,23925
Alameda County,Age 40,25499
Alameda County,Age 41,22347
Alameda County,Age 42,21673
Alameda County,Age 43,21164
Alameda County,Age 44,21533
Alameda County,Age 45,23618
Alameda County,Age 46,22888
Alameda County,Age 47,22902
Alameda County,Age 48,22368
Alameda County,Age 49,22335
Alameda County,Age 50,23403
Alameda County,Age 51,21538
Alameda County,Age 52,21944
Alameda County,Age 53,20877
Alameda County,Age 54,20744
Alameda County,Age 55,21107
Alameda County,Age 56,19197
Alameda County,Age 57,19016
Alameda County,Age 58,18141
Alameda County,Age 59,17187
Alameda County,Age 60,17990
Alameda County,Age 61,16479
Alameda County,Age 62,16370
Alameda County,Age 63,15697
Alameda County,Age 64,12318
Alameda County,Age 65,12554
Alameda County,Age 66,11080
Alameda County,Age 67,10897
Alameda County,Age 68,9407
Alameda County,Age 69,8725
Alameda County,Age 70,8717
Alameda County,Age 71,7869
Alameda County,Age 72,7459
Alameda County,Age 73,7000
Alameda County,Age 74,6729
Alameda County,Age 75,6586
Alameda County,Age 76,5973
Alameda County,Age 77,5796
Alameda County,Age 78,5530
Alameda County,Age 79,5300
Alameda County,Age 80,5274
Alameda County,Age 81,4726
Alameda County,Age 82,4626
Alameda County,Age 83,4458
Alameda County,Age 84,4307
Alameda County,Age 85,3967
Alameda County,Age 86,3619
Alameda County,Age 87,3213
Alameda County,Age 88,2835
Alameda County,Age 89,2451
Alameda County,Age 90,2015
Alameda County,Age 91,1442
Alameda County,Age 92,1271
Alameda County,Age 93,996
Alameda County,Age 94,803
Alameda County,Age 95,617
Alameda County,Age 96,489
Alameda County,Age 97,365
Alameda County,Age 98,225
Alameda County,Age 99,150
Alameda County,Ages 100+,275
Contra Costa County,Age 0,12473
Contra Costa County,Age 1,12764
Contra Costa County,Age 2,13586
Contra Costa County,Age 3,14269
Contra Costa County,Age 4,13926
Contra Costa County,Age 5,14275
Contra Costa County,Age 6,14427
Contra Costa County,Age 7,14362
Contra Costa County,Age 8,14443
Contra Costa County,Age 9,14778
Contra Costa County,Age 10,14831
Contra Costa County,Age 11,14583
Contra Costa County,Age 12,14785
Contra Costa County,Age 13,15007
Contra Costa County,Age 14,15238
Contra Costa County,Age 15,15368
Contra Costa County,Age 16,15725
Contra Costa County,Age 17,15665
Contra Costa County,Age 18,14277
Contra Costa County,Age 19,12731
Contra Costa County,Age 20,12513
Contra Costa County,Age 21,11473
Contra Costa County,Age 22,11638
Contra Costa County,Age 23,11879
Contra Costa County,Age 24,12440
Contra Costa County,Age 25,12916
Contra Costa County,Age 26,12629
Contra Costa County,Age 27,13004
Contra Costa County,Age 28,13105
Contra Costa County,Age 29,13093
Contra Costa County,Age 30,13778
Contra Costa County,Age 31,12501
Contra Costa County,Age 32,12909
Contra Costa County,Age 33,12797
Contra Costa County,Age 34,12911
Contra Costa County,Age 35,13818
Contra Costa County,Age 36,13358
Contra Costa County,Age 37,13765
Contra Costa County,Age 38,14135
Contra Costa County,Age 39,15444
Contra Costa County,Age 40,16622
Contra Costa County,Age 41,15349
Contra Costa County,Age 42,15392
Contra Costa County,Age 43,15160
Contra Costa County,Age 44,15607
