MAZ,Total
10001,712
10002,704
10003,684
10004,544
10005,507
10006,455
10007,428
10009,422
10012,1235
10017,407
10018,3718
10021,35
10022,754
10023,1066
10024,366
10025,699
10030,384
10038,699
10039,406
10044,389
10045,307
10047,811
10048,228
10049,318
10052,429
10053,435
10054,381
10055,352
10056,342
10060,307
10062,891
10063,807
10064,3006
10065,538
10071,684
10072,656
10073,616
10074,292
10075,288
10076,569
10077,603
10078,559
10079,1794
10084,4553
10086,914
10087,442
10094,548
10098,373
10099,362
10101,348
10102,341
10104,264
10107,505
10109,241
10110,236
10111,236
10112,234
10114,231
10116,231
10117,946
10119,293
10122,231
10123,34
10124,458
10125,224
10127,764
10128,471
10130,720
10133,141
10137,1316
10138,440
10140,434
10141,430
10142,427
10143,419
10144,1012
10147,8152
10150,841
10151,416
10153,821
10157,405
10159,106
10160,398
10161,391
10162,379
10163,374
10164,373
10165,372
10167,368
10168,197
10169,197
10170,391
10172,195
10173,194
10179,581
10180,192
10181,191
10184,187
10185,2203
10187,275
10190,135
10192,131
10193,255
10194,125
10195,125
10197,124
10198,246
10200,178
10201,120
10202,530
10203,120
10204,116
10206,176
10207,175
10208,170
10209,165
10210,175
10211,325
10212,153
10213,151
10214,151
10215,151
10218,367
10219,1891
10222,53
10223,116
10224,115
10225,115
10226,114
10227,114
10228,114
10229,113
10230,112
10231,111
10232,110
10233,322
10234,106
10235,106
10236,106
10239,52
10241,314
10242,168
10247,143
10248,279
10249,137
10250,134
10251,268
10252,133
10253,132
10254,321
10255,155
10256,297
10257,291
10258,143
10259,353
10260,102
10261,50
10262,50
10263,50
10265,90
10266,142
10268,168
10269,168
10270,167
10271,167
10272,167
10273,166
10274,166
10275,165
10276,165
10277,491
10278,161
10279,161
10280,160
10281,157
10282,156
10283,155
10284,102
10287,102
10288,102
10289,101
10290,101
10292,101
10295,100
10300,100
10302,341
10308,339
10309,339
10310,154
10312,919
10313,152
10315,100
10316,99
10317,99
10321,140
10322,137
10323,135
10324,134
10325,131
10326,130
10327,128
10328,128
10329,127
10330,126
10331,126
10333,125
10334,125
10335,130
10336,98
10337,98
10338,125
10340,98
10341,123
10344,291
10347,97
10349,97
10350,96
10351,96
10352,95
10353,1051
10355,298
10358,298
10359,335
10368,333
10369,319
10370,318
10372,310
10373,310
10375,307
10376,304
10377,295
10378,294
10380,264
10384,190
10385,188
10386,187
10388,462
10390,445
10392,294
10394,294
10395,146
10398,146
10399,291
10400,184
10401,184
10402,91
10403,182
10405,91
10411,273
10413,123
10414,123
10416,145
10417,145
10418,145
10419,145
10420,144
10421,90
10424,90
10425,90
10427,90
10428,90
10429,90
10430,89
10431,89
10432,89
10433,89
10434,264
10435,88
10436,88
10437,87
10438,174
10440,86
10441,86
10443,86
10444,86
10445,41
10446,41
10447,285
10450,86
10452,86
10454,284
10455,144
10456,282
10457,288
10458,144
10460,831
10462,143
10463,143
10464,142
10466,130
10467,122
10468,252
10469,123
10470,122
10472,121
10473,120
10474,119
10476,143
10477,86
10482,81
10483,676
10484,274
10486,546
10487,268
10488,267
10489,265
10490,514
10493,251
10494,249
10496,246
10498,245
10499,142
10501,244
10503,719
10504,142
10507,141
10508,141
10509,141
10512,421
10514,139
10515,139
10517,40
10518,84
10519,84
10520,416
10523,235
10524,117
10525,117
10526,116
10527,122
10528,116
10529,115
10530,83
10532,138
10535,237
10536,470
10538,232
10539,138
10540,138
10541,138
10542,137
10543,137
10544,136
10546,83
10547,136
10549,164
10551,135
10552,269
10553,268
10554,268
10555,265
10564,264
10566,655
10567,130
10572,647
10573,385
10575,79
10576,256
10581,0
10582,127
10585,229
10586,227
10587,224
10590,127
10593,244
10594,127
10595,231
10596,229
10597,127
10598,253
10600,453
10601,225
10602,223
10604,125
10605,125
10606,125
10607,125
10608,125
10609,125
10610,125
10611,125
10612,125
10613,125
10614,375
10627,162
10628,81
10632,248
10635,247
10637,123
10642,123
10646,148
10649,36
10650,35
10654,244
10655,162
10658,240
10659,122
10660,122
10665,160
10666,222
10667,221
10668,80
10669,80
10670,80
10671,80
10675,242
10677,105
10680,133
10681,363
10683,79
10684,79
10685,79
10686,79
10693,219
10695,217
10696,214
10697,120
10698,120
10699,210
10700,209
10701,207
10702,60
10703,88
10704,53
10705,112
10706,121
10707,78
10708,78
10711,78
10713,78
10714,78
10716,78
10717,78
10718,78
10720,78
10721,77
10722,77
10724,410
10725,154
10726,77
10727,77
10728,77
10731,120
10734,75
10735,24
10736,76
10743,228
10744,152
10745,152
10750,76
10751,76
10753,76
10754,76
10756,75
10760,75
10761,112
10762,241
10763,120
10764,112
10765,120
10766,111
10767,111
10768,110
10769,0
10770,150
10771,150
10772,150
10773,150
10774,75
10775,149
10776,148
10780,74
10782,73
10783,73
10786,73
10787,119
10790,204
10791,203
10793,119
10795,73
10798,73
10801,146
10803,73
10805,73
10806,73
10809,72
10810,72
10811,72
10812,72
10813,72
10814,119
10817,72
10818,72
10819,119
10822,356
10823,354
10834,234
10835,234
10837,218
10838,215
10839,233
10840,232
10843,116
10847,116
10848,115
10849,115
10850,115
10851,115
10852,115
10853,115
10854,227
10856,113
10857,113
10858,71
10859,71
10860,71
10861,142
10863,113
10864,224
10865,112
10866,224
10867,223
10868,222
10871,284
10873,142
10874,351
10876,111
10877,111
10878,70
10879,556
10881,120
10882,120
10883,119
10884,106
10885,118
10886,106
10887,118
10889,69
10890,69
10891,69
10892,136
10893,136
10894,68
10895,136
10896,68
10897,68
10898,68
10899,111
10900,111
10901,110
10902,110
10904,68
10906,110
10907,110
10908,109
10909,109
10910,109
10911,109
10912,108
10913,108
10914,108
10915,108
10916,68
10917,68
10920,216
10922,107
10924,107
10925,107
10927,107
10929,107
10930,107
10933,68
10934,68
10936,68
10937,67
10938,67
10939,67
10940,67
10941,67
10944,666
10947,321
10948,425
10950,203
10951,106
10955,66
10956,66
10957,106
10958,105
