MAZ,Total
10959,210
10961,105
10962,105
10964,104
10965,104
10966,312
10967,104
10970,66
10972,0
10975,24
10976,47
10977,69
10978,132
10982,203
10983,201
10984,201
10985,201
10986,200
10989,397
10990,196
10991,196
10992,196
10993,194
10994,104
10995,103
10996,192
10997,103
10999,103
11001,103
11002,105
11004,210
11005,209
11006,205
11008,202
11011,206
11013,206
11014,409
11015,204
11018,460
11021,130
11026,324
11027,102
11028,102
11031,102
11033,0
11038,0
11039,22
11041,66
11042,40
11044,20
11046,192
11051,128
11055,203
11056,202
11059,101
11060,200
11062,198
11063,194
11064,303
11065,192
11067,303
11068,202
11071,192
11073,64
11074,115
11075,18
11079,191
11080,101
11081,101
11082,186
11083,18
11085,181
11086,101
11087,181
11090,100
11092,181
11093,180
11094,180
11095,180
11096,100
11097,100
11098,100
11099,100
11100,100
11101,100
11102,99
11103,99
11104,99
11106,99
11107,128
11108,99
11109,99
11118,356
11120,354
11121,703
11122,518
11125,844
11127,330
11128,36
11129,36
11130,163
11132,192
11133,64
11134,99
11135,297
11136,198
11138,83
11139,47
11145,14
11146,99
11147,198
11148,98
11149,14
11150,98
11151,163
11152,163
11153,163
11154,324
11155,161
11156,161
11157,196
11159,161
11160,161
11162,98
11163,98
11164,97
11165,97
11166,97
11167,96
11168,96
11169,96
11171,192
11172,161
11173,160
11174,117
11175,117
11176,114
11177,113
11178,112
11179,112
11180,110
11181,109
11182,109
11183,109
11184,108
11186,108
11190,96
11191,191
11192,108
11195,128
11196,64
11198,64
11199,64
11200,107
11201,64
11203,64
11204,63
11205,63
11206,63
11207,63
11208,63
11210,105
11211,104
11213,384
11216,160
11221,63
11222,63
11223,95
11224,95
11225,95
11226,95
11228,95
11229,126
11230,126
11231,189
11232,126
11234,189
11236,189
11237,63
11238,63
11239,63
11240,63
11241,63
11242,62
11243,62
11245,62
11250,95
11251,95
11257,84
11259,95
11260,95
11261,95
11263,95
11264,62
11267,62
11268,95
11269,62
11270,124
11274,95
11280,103
11283,189
11284,94
11287,62
11293,62
11294,62
11297,62
11298,62
11299,62
11300,62
11301,62
11302,62
11303,62
11304,62
11306,61
11307,61
11309,61
11312,122
11315,122
11316,183
11319,305
11323,160
11324,159
11326,159
11328,241
11329,158
11330,158
11332,314
11333,466
11335,461
11337,188
11339,564
11341,21
11342,20
11343,20
11344,93
11345,93
11347,93
11349,93
11350,93
11351,93
11352,186
11353,10
11355,279
11358,300
11359,60
11360,60
11361,180
11367,305
11368,152
11369,303
11371,151
11374,149
11375,60
11376,120
11377,186
11378,60
11381,120
11382,60
11384,120
11385,60
11386,60
11388,120
11389,60
11390,60
11391,60
11392,59
11393,59
11394,59
11396,93
11397,92
11398,92
11399,92
11401,92
11402,92
11403,92
11405,92
11409,59
11411,10
11418,92
11419,96
11422,92
11423,118
11424,92
11425,92
11426,92
11427,91
11429,91
11431,59
11432,59
11433,59
11434,59
11435,59
11436,59
11437,59
11438,59
11439,59
11440,59
11441,59
11442,59
11444,292
11449,406
11453,0
11454,116
11457,58
11459,58
11461,148
11462,182
11463,91
11464,91
11466,58
11467,58
11468,58
11469,116
11471,4
11473,91
11474,4
11475,4
11476,908
11485,147
11486,147
11487,146
11489,146
11490,146
11491,146
11492,145
11495,145
11496,145
11497,145
11498,145
11499,90
11500,180
11501,180
11502,90
11504,90
11505,90
11506,89
11508,89
11509,401
11512,289
11513,57
11514,89
11515,288
11517,7
11522,94
11523,94
11524,94
11525,94
11527,94
11529,171
11530,114
11531,114
11533,57
11541,89
11544,89
11547,89
11548,0
11549,0
11550,0
11557,114
11558,114
11560,114
11569,24
11574,57
11578,114
11579,171
11582,171
11586,89
11587,2
11588,1
11589,1
11590,0
11591,225
11594,56
11597,112
11598,112
11599,112
11600,168
11601,112
11602,56
11603,56
11604,56
11605,56
11606,167
11610,55
11611,89
11612,88
11613,88
11614,88
11615,0
11616,176
11617,88
11618,176
11620,176
11622,0
11623,0
11625,55
11626,55
11627,55
11628,88
11629,88
11630,88
11631,55
11632,55
11633,55
11634,55
11635,55
11638,55
11640,55
11641,55
11642,55
11643,55
11646,55
11647,55
11648,55
11649,55
11653,55
11656,54
11658,108
11661,144
11664,143
11666,88
11667,216
11669,54
11670,54
11673,0
11674,143
11676,143
11677,54
11678,174
11679,261
11680,54
11681,99
11682,98
11683,98
11684,96
11685,94
11686,93
11687,93
11692,87
11693,0
11694,0
11697,141
11698,0
11699,0
11701,0
11703,174
11708,324
11715,324
11716,108
11717,108
11719,54
11726,54
11727,54
11728,108
11730,141
11731,173
11735,86
11736,0
11737,54
11741,159
11744,53
11746,94
11747,140
11752,140
11754,140
11756,140
11757,139
11759,53
11762,53
11764,53
11767,53
11768,53
11769,53
11770,53
11771,258
11773,172
11774,0
11785,412
11786,171
11790,0
11792,53
11794,53
11795,53
11796,53
11797,53
11798,53
11799,53
11800,53
11801,53
11802,53
11803,53
11804,53
11805,53
11806,106
11807,53
11809,53
11814,53
11816,53
11817,53
11818,85
11819,159
11820,85
11821,85
11822,170
11823,85
11824,53
11826,106
11828,265
11831,106
11839,136
11842,53
11843,106
11845,53
11846,53
11847,185
11848,53
11851,53
11852,53
11853,52
11854,52
11855,52
11856,52
11861,52
11864,364
11867,52
11868,52
11869,52
11871,0
11874,135
11879,269
11881,134
11882,133
11884,132
11887,85
11888,52
11889,52
11890,52
11891,52
11892,52
11893,52
11894,52
11895,52
11897,52
11901,93
11902,93
11903,184
11907,91
11908,91
11911,52
11912,104
11913,52
11914,104
11915,85
11916,84
11917,84
11920,84
11921,52
11922,52
11923,84
11924,84
11925,84
11927,131
11929,84
11930,84
11932,84
11933,84
11934,84
11937,52
11938,84
11939,84
11940,52
11941,52
11942,52
11943,52
11944,52
11945,51
11946,51
11947,51
11948,51
11949,51
11950,51
11951,51
11952,51
11953,51
11954,51
11957,51
11961,51
11964,51
11965,51
11966,84
11967,332
11969,83
11972,83
11973,83
11974,83
11975,83
11976,83
11977,83
11978,82
11979,51
11983,102
11984,82
11985,82
11988,82
11989,82
11991,82
11992,82
11993,82
11997,131
11998,131
11999,130
12001,130
12002,130
12003,130
12004,82
12005,129
12006,257
12007,128
12008,256
12009,82
12010,82
12011,82
12012,82
12014,163
12016,81
12017,81
12020,81
12023,81
12027,51
12028,160
12035,160
12036,160
12037,80
12039,153
12040,153
12041,102
12045,102
12046,80
12050,0
12052,158
12054,0
12057,79
12060,237
12064,201
12070,50
12071,50
12072,50
12073,0
12074,127
12075,127
12078,50
12079,50
12083,90
12084,89
12086,180
12091,79
12092,79
12093,79
12094,79
12095,78
12096,156
12097,78
12098,78
12099,78
12103,78
12104,78
12107,78
12110,100
12113,0
12114,312
12119,50
12120,127
12121,127
12122,127
12123,126
12124,126
12127,125
12130,375
12131,124
12132,124
12133,124
12134,89
12135,266
12136,88
12137,88
12138,88
12139,88
12140,173
12141,86
12142,100
12143,50
12144,50
12145,50
12146,100
12147,50
12149,308
12153,124
12156,150
12157,50
12159,50
12160,50
12161,50
12162,50
12163,50
12164,50
12168,197
12169,123
12170,123
12171,123
12172,122
12173,77
12176,122
12178,122
12179,122
12180,122
12181,77
12182,77
12188,242
12191,121
12192,121
12193,120
12194,120
12195,120
12196,119
12197,119
12201,88
12202,86
12203,86
12204,88
12205,84
12207,83
12208,83
12209,83
12210,82
12211,87
12212,87
12214,98
12215,49
12216,49
12217,49
12219,49
12221,77
12222,77
12223,77
12225,119
12226,77
12227,77
12229,77
12230,77
12232,119
12233,76
12236,49
12237,49
12238,49
12241,49
12242,49
12243,49
12245,49
12246,49
12248,0
12251,76
12252,76
12259,356
12270,228
12271,228
12274,152
12278,49
12280,49
12281,49
12282,49
12283,49
12284,75
12285,75
12286,75
12288,75
12290,225
12291,75
12293,98
12295,245
12303,118
12305,118
12306,235
12307,117
12309,116
12310,115
12311,114
12312,113
12314,48
12315,48
12316,48
12317,48
12318,48
12319,48
12320,48
12321,144
12322,144
12323,48
12324,48
12325,48
12326,48
12327,48
12328,48
12329,48
12330,48
12331,48
12333,48
12339,75
12341,75
12342,75
12343,74
12344,74
12346,148
12348,74
12349,74
12353,74
12354,73
12356,96
12358,192
12361,48
12362,48
12363,48
12364,48
12365,48
12366,73
12368,48
12369,48
12370,96
12372,73
12373,146
12377,145
12382,143
12383,94
12384,94
12387,94
12390,72
12391,72
12392,72
12393,72
12394,72
12395,72
12397,72
12398,72
12400,72
12401,72
12402,72
12409,47
12410,47
12412,72
12414,188
12415,0
12418,47
12419,47
12421,329
12423,216
12427,226
12428,72
12430,144
12431,336
12433,112
12434,112
12435,112
12436,224
12438,222
12439,109
12440,109
12442,72
12446,109
12447,108
12451,47
12452,47
12454,47
12455,47
12458,47
12459,46
12460,46
12461,46
12462,46
12463,46
12464,46
12465,46
12466,46
12467,46
12469,46
12473,46
12474,46
12475,46
12476,92
12488,0
12489,143
12491,142
12492,216
12494,107
12495,106
12496,106
12498,106
12499,212
12500,142
12501,142
12506,140
12509,164
12514,140
12515,164
12516,140
12517,210
12518,140
12521,69
12522,69
12523,69
12524,69
12525,69
12527,69
12529,69
12530,69
12531,69
12532,69
12533,69
12534,69
12538,105
12539,105
12540,104
12541,104
12542,104
12543,104
12544,103
12545,69
12546,136
12547,68
12548,68
12549,68
12550,102
12551,102
12552,68
12553,68
12554,68
12555,68
12557,68
12558,68
12561,82
12562,81
12563,162
12564,81
12567,46
12568,92
12569,92
12570,92
12572,204
12574,306
12577,607
12578,268
12582,67
12588,46
12591,0
12595,92
12599,66
12600,66
12601,102
12602,102
12604,101
12605,101
12607,46
12608,90
12611,132
12616,45
12617,45
12618,45
12619,135
12623,45
12628,198
12629,66
12630,66
12632,66
12633,66
12634,66
12635,66
12636,66
12641,45
12642,45
12643,45
12644,45
12645,45
12646,45
12648,45
12649,90
12654,66
12656,66
12657,65
12658,65
12659,65
12660,65
12661,65
12662,130
12665,195
12668,65
12670,65
12671,65
12672,45
12673,64
12674,64
12676,201
12680,64
12682,64
12683,64
12684,128
12686,64
12691,64
12692,64
12694,64
12695,64
12700,63
12701,63
12702,0
12703,63
12704,63
12705,63
12706,63
12707,63
12715,189
12718,63
12720,161
12725,44
12727,176
12732,44
12733,44
12734,44
12735,44
12737,44
12738,44
12739,44
12740,88
12741,44
12742,44
12744,44
12745,44
12747,176
12749,88
12750,0
12751,0
12753,63
12754,0
12756,62
12757,62
12758,62
12759,62
12760,62
12769,100
12771,0
12772,199
12773,196
12774,290
12776,96
12777,192
12779,96
12780,87
12785,62
12786,43
12787,43
12788,43
12789,43
12790,43
12791,43
12792,86
12793,43
12794,43
12795,43
12796,43
12797,43
12798,43
12801,86
12802,43
12803,43
12805,86
12808,86
12811,129
12812,96
12813,191
12814,95
12816,189
12817,94
12818,188
12819,94
12820,94
12821,94
12822,93
12824,127
12825,42
12826,42
12827,42
12828,42
12829,42
12830,42
12831,126
12832,84
12833,42
12834,42
12838,42
12839,42
12840,42
12841,42
12842,42
12843,42
12844,42
12845,42
12846,42
12847,86
12848,42
12849,42
12851,207
12855,41
12860,41
12862,62
12863,62
12864,62
12865,62
12868,124
12870,41
12872,41
12873,41
12874,41
12875,41
12876,41
12877,41
12878,41
12879,41
12880,41
12881,41
12883,62
12884,62
12885,62
12886,41
12887,62
12888,62
12890,61
12891,123
12895,41
12896,41
12897,41
12898,41
12902,41
12906,41
12911,41
12913,183
12915,61
12918,61
12920,61
12921,60
12922,60
12923,93
12924,185
12927,41
12928,60
12934,41
12937,122
12938,40
12939,40
12940,40
12941,40
12942,40
12943,40
12944,40
12945,60
12946,60
12948,120
12949,60
12951,184
12958,60
12959,320
12960,60
12961,59
12962,0
12963,59
12964,59
12965,59
12967,59
12968,80
12969,59
12970,59
12971,59
12976,353
12985,80
12986,58
12987,58
12988,116
12989,39
12990,39
12991,39
12993,39
12994,39
12995,39
12996,39
12997,39
12998,39
12999,39
13003,174
13005,116
13013,39
13018,58
13020,39
13021,39
13022,39
13024,92
13025,90
13026,90
13027,180
13028,90
13029,89
13030,116
13033,58
13034,58
13035,116
13037,58
13038,39
13039,39
13043,39
13044,39
13046,39
13047,39
13048,39
13052,58
13054,58
13061,178
13063,178
13065,177
13066,176
13068,0
13072,39
13073,39
13074,78
13075,39
13076,171
13077,0
13078,0
13079,171
13080,0
13081,0
13082,0
13085,57
13086,57
13087,0
13089,0
13096,155
13097,114
13098,114
13100,114
13103,57
13106,0
13107,76
13108,57
13112,87
13113,0
13114,87
13115,87
13117,172
13119,172
13121,85
13124,85
13127,38
13129,38
13130,38
13131,56
13133,112
13134,56
13135,56
13136,56
13137,38
13138,38
13139,38
13142,86
13144,0
13146,38
13147,38
13148,76
13149,38
13150,38
13152,38
13153,56
13154,56
13155,0
13157,0
13158,0
13159,0
13160,0
13161,0
13162,0
13163,0
13164,266
13171,0
13175,37
13176,84
13177,84
13179,84
13182,84
13185,111
13186,110
13187,160
13189,0
13193,110
13198,74
13201,55
13204,74
13205,37
13206,74
13208,37
13210,37
13213,37
13214,55
13215,0
13217,0
13218,0
13219,55
13221,55
13226,37
13227,74
13229,83
13230,83
13233,0
13235,83
13236,83
13238,37
13239,37
13240,37
13241,37
13244,55
13249,0
13259,37
13260,37
13261,37
13262,37
13263,37
13267,37
13269,37
13270,37
13271,36
13275,36
13277,0
13280,110
13281,55
13282,36
13286,55
13287,55
13288,55
13289,54
13293,108
13297,166
13298,83
13300,83
13301,0
13302,243
13303,322
13304,80
13305,80
13306,79
13307,79
13308,158
13309,158
13310,0
13314,324
13315,54
13317,53
13318,53
13319,106
13320,106
13323,53
13324,53
13325,53
13334,53
13336,0
13338,36
13339,36
13342,108
13344,36
13347,158
13348,79
13350,78
13354,77
13355,77
13357,77
13358,76
13360,76
13361,36
13362,72
13363,36
13365,36
13366,36
13368,144
13369,53
13370,52
13372,52
13374,52
13375,52
13376,416
13379,156
13381,52
13383,51
13384,0
13389,0
13393,36
13394,36
13395,36
13396,108
13397,35
13398,35
13399,35
13400,70
13402,70
13404,35
13408,70
13409,70
13413,105
13414,304
13415,76
13416,151
13417,74
13422,147
13425,73
13428,35
13429,73
13430,51
13431,72
13433,35
13434,35
13436,35
13437,35
13438,35
13447,51
13448,0
13449,0
13451,72
13454,72
13455,102
13459,144
13460,72
13461,71
13462,141
13464,70
13466,137
13467,68
13469,136
13470,136
13471,67
13473,134
13474,132
13477,198
13483,131
13486,65
13487,35
13488,35
13489,35
13490,35
13491,69
13492,68
13495,34
13496,34
13497,34
13498,34
13499,153
13501,34
13503,51
13506,153
13507,102
13509,0
13510,68
13513,51
13514,0
13515,51
13516,0
13517,51
13518,51
13519,170
13523,65
13526,128
13528,64
13529,64
13530,63
13531,63
13545,68
13547,68
13548,102
13549,68
13552,34
13553,34
13562,136
13564,33
13571,51
13573,51
13574,51
13576,0
13580,0
13586,101
13592,66
13594,33
13596,66
13598,50
13599,0
13600,50
13601,50
13614,752
13615,33
13616,33
13617,33
13618,33
13619,33
13620,33
13623,82
13624,33
13625,33
13626,33
13627,99
13628,33
13630,33
13634,63
13635,63
13636,63
13637,62
13638,62
13639,124
13640,62
13643,122
13644,50
13645,50
13646,49
13648,98
13649,61
13650,61
13651,61
13652,61
13653,121
13655,60
13656,120
13657,60
13659,33
13660,66
13661,33
13664,33
13665,33
13668,33
13677,65
13679,96
13680,96
13681,96
13682,64
13685,32
13688,32
13690,32
13691,32
13692,32
13696,32
13697,32
13699,128
13702,32
13703,49
13704,49
13705,49
13707,49
13712,0
13714,82
13715,81
13717,81
13718,80
13719,80
13723,0
13724,118
13725,59
13726,116
13727,58
13729,57
13731,57
13734,0
13735,49
13736,49
13740,96
13742,64
13743,64
13750,31
13751,31
13753,31
13754,31
13755,31
13759,31
13761,31
13763,31
13765,31
13767,31
13768,31
13769,31
13771,31
13772,31
13782,392
13783,78
13785,77
13786,77
13790,31
13791,31
13792,31
13793,31
13794,31
13795,31
13796,31
13798,31
13799,31
13800,31
13802,310
13803,0
13809,31
13811,31
13812,31
13813,31
13814,31
13815,49
13817,31
13818,31
13819,31
13820,31
13824,30
13826,30
13827,30
13832,49
13833,49
13834,120
13844,57
13845,57
13846,57
13847,30
13848,30
13849,30
13850,30
13851,60
13852,60
13854,30
13856,30
13857,30
13858,30
13859,30
13860,150
13861,30
13862,30
13865,241
13869,57
13870,56
13871,56
13872,56
13873,56
13874,55
13875,55
13876,55
13879,30
13880,30
13881,30
13882,30
13883,30
13885,29
13886,29
13887,29
13888,29
13889,29
13890,29
13891,29
13894,48
13896,48
13897,48
13899,48
13900,48
13901,48
13902,29
13903,0
13904,0
13905,48
13906,159
13908,156
13911,48
13912,48
13915,48
13917,48
13918,48
13920,48
13921,47
13922,47
13923,47
13924,47
13926,29
13928,110
13929,29
13930,47
13932,29
13934,29
13935,29
13936,29
13938,29
13939,29
13941,29
13942,29
13946,29
13949,47
13958,58
13965,94
13966,47
13968,94
13970,141
13972,29
13973,29
13975,47
13982,47
13983,0
13988,93
13990,58
13997,110
13998,54
13999,162
14000,108
14001,54
14002,54
14003,29
14005,29
14006,29
14009,138
14014,92
14015,92
14023,46
14024,46
14026,46
14027,46
14029,46
14030,46
14031,45
14032,45
14033,45
14035,0
14036,45
14037,45
14040,45
14041,45
14043,87
14048,76
14049,76
14053,76
14054,75
14056,75
14057,29
14058,77
14059,213
14061,53
14062,52
14064,0
14066,28
14067,28
14068,56
14069,112
14070,28
14073,90
14076,45
14077,45
14078,45
14079,45
14081,45
14083,135
14084,133
14087,28
14088,88
14090,132
14091,44
14092,44
14093,44
14094,220
14095,44
14096,130
14097,43
14100,56
14102,43
14103,0
14106,43
14107,0
14108,43
14109,0
14110,0
14117,43
14128,74
14131,43
14132,43
14133,43
14134,52
14135,84
14137,126
14138,42
14139,84
14141,42
14142,42
14143,42
14144,42
14145,42
14146,42
14148,42
14149,42
14150,42
14151,41
14160,148
14161,146
14165,41
14166,52
14167,52
14169,28
14174,28
14175,28
14177,28
14179,28
14180,41
14186,41
14189,152
14190,76
14191,75
14193,56
14196,28
14197,41
14198,41
14200,0
14201,41
14202,41
14203,41
14204,40
14205,40
14206,80
14207,40
14208,40
14210,40
14211,40
14212,40
14214,80
14215,39
14217,39
14218,39
14219,39
14220,39
14221,39
14226,75
14228,52
14229,0
14231,0
14233,0
14235,52
14236,0
14237,0
14238,52
14239,0
14240,102
14241,102
14242,101
14243,50
14244,50
14245,49
14247,28
14248,28
14249,28
14251,56
14253,39
14254,39
14255,39
14260,0
14262,0
14263,0
14264,39
14265,39
14267,39
14268,39
14269,39
14270,38
14271,38
14276,0
14279,56
14280,49
14281,49
14283,49
14284,49
14289,28
14290,28
14291,110
14292,27
14293,27
14294,81
14295,27
14296,54
14297,27
14299,27
14300,27
14301,54
14302,27
14304,38
14306,27
14308,27
14309,27
14310,27
14312,0
14313,0
14314,38
14315,38
14316,38
14319,27
14321,27
14322,81
14326,81
14328,54
14330,27
14332,27
14334,38
14336,48
14340,48
14344,27
14347,26
14348,52
14349,26
14352,26
14353,26
14354,26
14355,26
14356,26
14357,26
14358,26
14359,26
14360,26
14361,26
14362,26
14363,26
14365,52
14366,52
14371,38
14372,38
14374,38
14376,26
14377,26
14379,38
14382,52
14387,52
14392,73
14394,95
14396,46
14400,38
14401,37
14404,129
14409,25
14414,138
14415,45
14416,45
14417,45
14418,44
14419,87
14420,43
14421,43
14423,86
14426,25
14427,25
14434,0
14436,148
14438,148
14439,147
14443,25
14447,75
14449,50
14451,50
14453,0
14456,50
14457,50
14458,25
14459,25
14460,25
14461,25
14462,50
14463,125
14466,122
14468,43
14470,42
14471,42
14472,41
14474,37
14475,121
14476,40
14477,40
14478,222
14479,37
14480,37
14481,36
14482,48
14483,24
14484,24
14485,24
14487,24
14488,24
14490,24
14491,24
14492,96
14501,0
14505,146
14508,146
14510,144
14516,24
14517,36
14518,36
14519,36
14520,36
14525,108
14526,48
14530,40
14531,39
14532,36
14533,35
14534,35
14535,39
14536,70
14538,38
14539,38
14541,38
14542,35
14543,35
14544,70
14545,105
14546,24
14547,24
14550,24
14553,104
14562,72
14564,72
14582,38
14583,38
14585,38
14586,37
14587,36
14588,35
14589,70
14590,34
14591,34
14592,34
14593,34
14594,34
14595,68
14596,34
14597,34
14598,34
14599,34
14600,34
14605,73
14606,73
14611,72
14612,72
14613,34
14614,0
14615,0
14616,0
14617,33
14618,0
14619,66
14620,0
14623,48
14624,24
14627,24
14628,24
14630,24
14631,46
14634,73
14635,72
14636,67
14638,33
14640,66
14642,33
14644,33
14645,33
14646,33
14647,23
14649,23
14651,23
14652,71
14653,71
14655,142
14656,71
14657,71
14658,71
14659,64
14660,0
14661,0
14662,33
14665,0
14666,0
14667,71
14670,23
14671,23
14672,23
14675,23
14676,23
14680,23
14681,32
14682,32
14684,23
14685,32
14689,0
14691,46
14692,140
14693,140
14699,23
14700,23
14701,23
14702,46
14703,46
14704,23
14705,23
14709,69
14710,69
14711,23
14712,23
14713,23
14714,23
14715,23
14716,23
14717,23
14739,45
14742,44
14744,22
14745,22
14748,176
14749,64
14752,32
14753,32
14754,32
14755,32
14756,32
14759,32
14760,32
14761,32
14769,0
14773,69
14779,22
14780,68
14781,67
14782,67
14783,67
14787,66
14788,66
14790,88
14794,31
14795,31
14796,31
14797,31
14798,31
14799,31
14800,31
14801,31
14802,30
14803,30
14805,30
14806,30
14809,30
14810,30
14811,22
14814,30
14825,66
14827,66
14830,66
14832,30
14833,29
14834,29
14835,29
14836,29
14837,29
14838,29
14839,29
14840,29
14841,29
14842,29
14844,22
14845,29
14846,58
14851,32
14852,32
14855,29
14856,29
14857,28
14858,28
14859,28
14860,28
14861,28
14862,44
14863,22
14864,22
14865,22
14866,22
14867,22
14869,21
14870,126
14871,21
14872,21
14875,21
14877,21
14879,21
14882,21
14885,28
14887,28
14888,28
14889,28
14890,28
14893,141
14895,82
14903,21
14904,0
14910,21
14919,21
14923,27
14924,27
14925,27
14926,81
14927,27
14928,27
14930,27
