14-Oct-2016 16:19:48:126, INFO, balancing incidence table 2 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:48:126, INFO, balancing incidence table 3 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:48:127, INFO, balancing incidence table 4 has 2445 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:19:48:127, INFO, balancing incidence table 5 has 2445 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:19:48:128, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:19:49:319, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:50:325, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:19:51:298, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:19:52:221, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:19:53:185, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:19:55:495, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:19:57:618, INFO, combining final incidence tables.
14-Oct-2016 16:19:57:618, INFO, balancing incidence table 0 has 2865 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:19:57:621, INFO, balancing incidence table 1 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:57:622, INFO, balancing incidence table 2 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:57:622, INFO, balancing incidence table 3 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:19:57:622, INFO, balancing incidence table 4 has 2865 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:19:57:623, INFO, balancing incidence table 5 has 2865 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:19:57:623, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:19:58:728, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:19:59:719, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:00:632, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:01:550, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:02:435, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:04:768, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:06:793, INFO, combining final incidence tables.
14-Oct-2016 16:20:06:793, INFO, balancing incidence table 0 has 2552 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:06:797, INFO, balancing incidence table 1 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:06:797, INFO, balancing incidence table 2 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:06:797, INFO, balancing incidence table 3 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:06:797, INFO, balancing incidence table 4 has 2552 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:06:798, INFO, balancing incidence table 5 has 2552 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:06:798, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:07:977, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:08:891, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:09:760, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:10:756, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:11:688, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:13:914, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:15:979, INFO, combining final incidence tables.
14-Oct-2016 16:20:15:980, INFO, balancing incidence table 0 has 1913 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:15:982, INFO, balancing incidence table 1 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:15:982, INFO, balancing incidence table 2 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:15:982, INFO, balancing incidence table 3 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:15:982, INFO, balancing incidence table 4 has 1913 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:15:983, INFO, balancing incidence table 5 has 1913 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:15:983, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:17:164, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:18:159, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:18:981, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:19:827, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:20:662, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:22:947, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:25:031, INFO, combining final incidence tables.
14-Oct-2016 16:20:25:031, INFO, balancing incidence table 0 has 2043 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:25:035, INFO, balancing incidence table 1 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:25:035, INFO, balancing incidence table 2 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:25:035, INFO, balancing incidence table 3 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:25:036, INFO, balancing incidence table 4 has 2043 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:25:036, INFO, balancing incidence table 5 has 2043 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:25:036, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:26:206, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:27:157, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:28:008, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:28:990, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:29:895, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:32:097, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:34:248, INFO, combining final incidence tables.
14-Oct-2016 16:20:34:248, INFO, balancing incidence table 0 has 2562 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:34:252, INFO, balancing incidence table 1 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:34:252, INFO, balancing incidence table 2 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:34:253, INFO, balancing incidence table 3 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:34:253, INFO, balancing incidence table 4 has 2562 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:34:253, INFO, balancing incidence table 5 has 2562 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:34:254, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:35:463, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:36:480, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:37:371, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:38:381, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:39:303, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:41:575, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:43:736, INFO, combining final incidence tables.
14-Oct-2016 16:20:43:736, INFO, balancing incidence table 0 has 2569 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:43:739, INFO, balancing incidence table 1 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:43:740, INFO, balancing incidence table 2 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:43:740, INFO, balancing incidence table 3 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:43:740, INFO, balancing incidence table 4 has 2569 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:43:740, INFO, balancing incidence table 5 has 2569 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:43:741, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:44:889, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:45:866, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:46:701, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:47:676, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:48:592, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:50:840, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:20:52:901, INFO, combining final incidence tables.
14-Oct-2016 16:20:52:901, INFO, balancing incidence table 0 has 2103 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:20:52:903, INFO, balancing incidence table 1 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:52:904, INFO, balancing incidence table 2 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:52:904, INFO, balancing incidence table 3 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:20:52:904, INFO, balancing incidence table 4 has 2103 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:20:52:904, INFO, balancing incidence table 5 has 2103 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:20:52:904, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:20:54:052, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:20:54:920, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:20:55:749, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:20:56:702, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:20:57:591, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:20:59:838, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:01:901, INFO, combining final incidence tables.
14-Oct-2016 16:21:01:902, INFO, balancing incidence table 0 has 1993 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:01:904, INFO, balancing incidence table 1 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:01:904, INFO, balancing incidence table 2 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:01:905, INFO, balancing incidence table 3 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:01:905, INFO, balancing incidence table 4 has 1993 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:01:905, INFO, balancing incidence table 5 has 1993 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:21:01:905, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:03:084, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:21:03:977, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:04:851, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:05:804, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:21:06:803, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:21:09:224, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:11:443, INFO, combining final incidence tables.
14-Oct-2016 16:21:11:443, INFO, balancing incidence table 0 has 2282 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:11:446, INFO, balancing incidence table 1 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:11:446, INFO, balancing incidence table 2 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:11:447, INFO, balancing incidence table 3 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:11:447, INFO, balancing incidence table 4 has 2282 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:11:447, INFO, balancing incidence table 5 has 2282 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:21:11:447, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:12:613, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:21:13:557, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:14:385, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:15:341, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:21:16:213, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:21:18:491, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:20:537, INFO, combining final incidence tables.
14-Oct-2016 16:21:20:537, INFO, balancing incidence table 0 has 1689 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:20:541, INFO, balancing incidence table 1 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:20:541, INFO, balancing incidence table 2 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:20:541, INFO, balancing incidence table 3 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:20:541, INFO, balancing incidence table 4 has 1689 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:20:542, INFO, balancing incidence table 5 has 1689 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
