maz,taz,maz_original,taz_original,PUMA5CE00,COUNTYFP,mtc_county_id,county_name
1,56,10001,56,2204,75,1,San Francisco
2,56,10002,56,2204,75,1,San Francisco
3,10,10003,10,2204,75,1,San Francisco
4,53,10004,53,2204,75,1,San Francisco
5,48,10005,48,2204,75,1,San Francisco
6,48,10006,48,2204,75,1,San Francisco
7,65,10007,65,2204,75,1,San Francisco
8,65,10009,65,2204,75,1,San Francisco
9,40,10012,40,2206,75,1,San Francisco
10,570,10017,583,2207,75,1,San Francisco
11,563,10018,574,2203,75,1,San Francisco
12,601,10021,618,2207,75,1,San Francisco
13,114,10022,116,2207,75,1,San Francisco
14,123,10023,125,2204,75,1,San Francisco
15,605,10024,622,2207,75,1,San Francisco
16,606,10025,623,2207,75,1,San Francisco
17,248,10030,250,2201,75,1,San Francisco
18,356,10038,363,2203,75,1,San Francisco
19,324,10039,330,2207,75,1,San Francisco
20,618,10044,635,2206,75,1,San Francisco
21,618,10045,635,2206,75,1,San Francisco
22,197,10047,199,2206,75,1,San Francisco
23,619,10048,636,2206,75,1,San Francisco
24,99,10049,100,2207,75,1,San Francisco
25,443,10052,453,2206,75,1,San Francisco
26,542,10053,553,2207,75,1,San Francisco
27,542,10054,553,2207,75,1,San Francisco
28,39,10055,39,2203,75,1,San Francisco
29,286,10056,288,2203,75,1,San Francisco
30,83,10060,84,2203,75,1,San Francisco
31,115,10062,117,2207,75,1,San Francisco
32,186,10063,188,2207,75,1,San Francisco
33,292,10064,294,2207,75,1,San Francisco
34,292,10065,294,2207,75,1,San Francisco
35,429,10071,438,2202,75,1,San Francisco
36,429,10072,438,2202,75,1,San Francisco
37,451,10073,461,2202,75,1,San Francisco
38,461,10074,471,2201,75,1,San Francisco
39,461,10075,471,2201,75,1,San Francisco
40,461,10076,471,2201,75,1,San Francisco
41,425,10077,434,2202,75,1,San Francisco
42,468,10078,478,2201,75,1,San Francisco
43,391,10079,398,2202,75,1,San Francisco
44,359,10084,366,2202,75,1,San Francisco
45,397,10086,404,2203,75,1,San Francisco
46,394,10087,401,2202,75,1,San Francisco
47,412,10094,420,2205,75,1,San Francisco
48,480,10098,490,2205,75,1,San Francisco
49,479,10099,489,2205,75,1,San Francisco
50,279,10101,281,2205,75,1,San Francisco
51,481,10102,491,2205,75,1,San Francisco
52,6,10104,6,2204,75,1,San Francisco
53,552,10107,563,2204,75,1,San Francisco
54,559,10109,570,2204,75,1,San Francisco
55,20,10110,20,2203,75,1,San Francisco
56,21,10111,21,2203,75,1,San Francisco
57,18,10112,18,2203,75,1,San Francisco
58,52,10114,52,2204,75,1,San Francisco
59,52,10116,52,2204,75,1,San Francisco
60,525,10117,535,2206,75,1,San Francisco
61,444,10119,454,2206,75,1,San Francisco
62,42,10122,42,2207,75,1,San Francisco
63,602,10123,619,2207,75,1,San Francisco
64,97,10124,98,2207,75,1,San Francisco
65,97,10125,98,2207,75,1,San Francisco
66,38,10127,38,2203,75,1,San Francisco
67,411,10128,419,2203,75,1,San Francisco
68,186,10130,188,2207,75,1,San Francisco
69,141,10133,143,2205,75,1,San Francisco
70,354,10137,361,2203,75,1,San Francisco
71,553,10138,564,2203,75,1,San Francisco
72,1,10140,1,2204,75,1,San Francisco
