maz,taz,maz_original,taz_original,PUMA5CE00,COUNTYFP,mtc_county_id,county_name
73,512,10141,522,2201,75,1,San Francisco
74,512,10142,522,2201,75,1,San Francisco
75,372,10143,379,2201,75,1,San Francisco
76,557,10144,568,2203,75,1,San Francisco
77,571,10147,584,2201,75,1,San Francisco
78,422,10150,430,2202,75,1,San Francisco
79,358,10151,365,2202,75,1,San Francisco
80,364,10153,371,2202,75,1,San Francisco
81,381,10157,388,2202,75,1,San Francisco
82,568,10159,581,2203,75,1,San Francisco
83,418,10160,426,2202,75,1,San Francisco
84,418,10161,426,2202,75,1,San Francisco
85,419,10162,427,2202,75,1,San Francisco
86,423,10163,431,2202,75,1,San Francisco
87,357,10164,364,2202,75,1,San Francisco
88,359,10165,366,2202,75,1,San Francisco
89,422,10167,430,2202,75,1,San Francisco
90,6,10168,6,2204,75,1,San Francisco
91,11,10169,11,2204,75,1,San Francisco
92,6,10170,6,2204,75,1,San Francisco
93,1,10172,1,2204,75,1,San Francisco
94,3,10173,3,2204,75,1,San Francisco
95,412,10179,420,2205,75,1,San Francisco
96,412,10180,420,2205,75,1,San Francisco
97,436,10181,446,2205,75,1,San Francisco
98,52,10184,52,2204,75,1,San Francisco
99,576,10185,592,2202,75,1,San Francisco
100,444,10187,454,2206,75,1,San Francisco
101,195,10190,197,2207,75,1,San Francisco
102,310,10192,314,2207,75,1,San Francisco
103,150,10193,152,2204,75,1,San Francisco
104,184,10194,186,2207,75,1,San Francisco
105,154,10195,156,2207,75,1,San Francisco
106,311,10197,315,2207,75,1,San Francisco
107,313,10198,317,2207,75,1,San Francisco
108,466,10200,476,2201,75,1,San Francisco
109,298,10201,301,2205,75,1,San Francisco
110,629,10202,646,2204,75,1,San Francisco
111,126,10203,128,2206,75,1,San Francisco
112,126,10204,128,2206,75,1,San Francisco
113,206,10206,208,2205,75,1,San Francisco
114,208,10207,210,2205,75,1,San Francisco
115,207,10208,209,2205,75,1,San Francisco
116,207,10209,209,2205,75,1,San Francisco
117,535,10210,545,2201,75,1,San Francisco
118,534,10211,544,2201,75,1,San Francisco
119,533,10212,543,2201,75,1,San Francisco
120,327,10213,333,2201,75,1,San Francisco
121,327,10214,333,2201,75,1,San Francisco
122,262,10215,264,2201,75,1,San Francisco
123,344,10218,351,2202,75,1,San Francisco
124,4,10219,4,2202,75,1,San Francisco
125,580,10222,597,2203,75,1,San Francisco
126,494,10223,504,2205,75,1,San Francisco
127,160,10224,162,2206,75,1,San Francisco
128,164,10225,166,2206,75,1,San Francisco
129,484,10226,494,2205,75,1,San Francisco
130,489,10227,499,2205,75,1,San Francisco
131,488,10228,498,2205,75,1,San Francisco
132,485,10229,495,2205,75,1,San Francisco
133,485,10230,495,2205,75,1,San Francisco
134,485,10231,495,2205,75,1,San Francisco
135,279,10232,281,2205,75,1,San Francisco
136,280,10233,282,2205,75,1,San Francisco
137,485,10234,495,2205,75,1,San Francisco
138,279,10235,281,2205,75,1,San Francisco
139,294,10236,296,2205,75,1,San Francisco
140,293,10239,295,2207,75,1,San Francisco
141,190,10241,192,2207,75,1,San Francisco
142,609,10242,626,2207,75,1,San Francisco
143,265,10247,267,2201,75,1,San Francisco
144,267,10248,269,2201,75,1,San Francisco
145,266,10249,268,2201,75,1,San Francisco
146,76,10250,76,2201,75,1,San Francisco
147,259,10251,261,2201,75,1,San Francisco
148,263,10252,265,2201,75,1,San Francisco
149,536,10253,546,2201,75,1,San Francisco
150,170,10254,172,2205,75,1,San Francisco
151,171,10255,173,2205,75,1,San Francisco
152,170,10256,172,2205,75,1,San Francisco
153,170,10257,172,2205,75,1,San Francisco
154,174,10258,176,2205,75,1,San Francisco
155,574,10259,588,2203,75,1,San Francisco
156,568,10260,581,2203,75,1,San Francisco
157,568,10261,581,2203,75,1,San Francisco
158,568,10262,581,2203,75,1,San Francisco
159,575,10263,590,2203,75,1,San Francisco
160,27,10265,27,2203,75,1,San Francisco
161,220,10266,222,2201,75,1,San Francisco
162,37,10268,37,2203,75,1,San Francisco
163,37,10269,37,2203,75,1,San Francisco
164,555,10270,566,2203,75,1,San Francisco
165,409,10271,417,2203,75,1,San Francisco
166,582,10272,599,2203,75,1,San Francisco
167,582,10273,599,2203,75,1,San Francisco
168,581,10274,598,2203,75,1,San Francisco
169,581,10275,598,2203,75,1,San Francisco
170,581,10276,598,2203,75,1,San Francisco
171,581,10277,598,2203,75,1,San Francisco
172,21,10278,21,2203,75,1,San Francisco
173,18,10279,18,2203,75,1,San Francisco
174,88,10280,89,2203,75,1,San Francisco
175,88,10281,89,2203,75,1,San Francisco
176,85,10282,86,2203,75,1,San Francisco
177,561,10283,572,2203,75,1,San Francisco
178,144,10284,146,2204,75,1,San Francisco
179,116,10287,118,2204,75,1,San Francisco
180,309,10288,313,2204,75,1,San Francisco
181,309,10289,313,2204,75,1,San Francisco
182,439,10290,449,2207,75,1,San Francisco
183,112,10292,114,2204,75,1,San Francisco
184,123,10295,125,2204,75,1,San Francisco
185,123,10300,125,2204,75,1,San Francisco
186,342,10302,349,2202,75,1,San Francisco
187,321,10308,325,2202,75,1,San Francisco
188,345,10309,352,2202,75,1,San Francisco
189,81,10310,82,2206,75,1,San Francisco
190,1,10312,1,2204,75,1,San Francisco
191,60,10313,60,2204,75,1,San Francisco
192,148,10315,150,2204,75,1,San Francisco
193,146,10316,148,2204,75,1,San Francisco
194,148,10317,150,2204,75,1,San Francisco
195,201,10321,203,2205,75,1,San Francisco
196,211,10322,213,2205,75,1,San Francisco
197,211,10323,213,2205,75,1,San Francisco
198,202,10324,204,2205,75,1,San Francisco
199,212,10325,214,2205,75,1,San Francisco
200,177,10326,179,2205,75,1,San Francisco
201,178,10327,180,2205,75,1,San Francisco
202,178,10328,180,2205,75,1,San Francisco
203,205,10329,207,2205,75,1,San Francisco
204,205,10330,207,2205,75,1,San Francisco
205,527,10331,537,2205,75,1,San Francisco
206,204,10333,206,2205,75,1,San Francisco
207,214,10334,216,2201,75,1,San Francisco
208,250,10335,252,2201,75,1,San Francisco
209,491,10336,501,2205,75,1,San Francisco
210,492,10337,502,2205,75,1,San Francisco
211,206,10338,208,2205,75,1,San Francisco
212,494,10340,504,2205,75,1,San Francisco
213,209,10341,211,2205,75,1,San Francisco
214,280,10344,282,2205,75,1,San Francisco
215,295,10347,297,2205,75,1,San Francisco
216,100,10349,101,2206,75,1,San Francisco
217,625,10350,642,2205,75,1,San Francisco
218,625,10351,642,2205,75,1,San Francisco
219,624,10352,641,2206,75,1,San Francisco
220,67,10353,67,2206,75,1,San Francisco
221,65,10355,65,2204,75,1,San Francisco
222,69,10358,69,2206,75,1,San Francisco
223,432,10359,441,2201,75,1,San Francisco
224,339,10368,345,2202,75,1,San Francisco
225,321,10369,325,2202,75,1,San Francisco
226,321,10370,325,2202,75,1,San Francisco
227,336,10372,342,2202,75,1,San Francisco
228,380,10373,387,2202,75,1,San Francisco
229,379,10375,386,2202,75,1,San Francisco
230,341,10376,347,2202,75,1,San Francisco
231,321,10377,325,2202,75,1,San Francisco
232,343,10378,350,2202,75,1,San Francisco
233,284,10380,286,2201,75,1,San Francisco
234,479,10384,489,2205,75,1,San Francisco
235,275,10385,277,2205,75,1,San Francisco
236,325,10386,331,2205,75,1,San Francisco
237,269,10388,271,2205,75,1,San Francisco
238,436,10390,446,2205,75,1,San Francisco
239,544,10392,555,2204,75,1,San Francisco
240,7,10394,7,2204,75,1,San Francisco
241,587,10395,604,2203,75,1,San Francisco
242,559,10398,570,2204,75,1,San Francisco
243,1,10399,1,2204,75,1,San Francisco
244,479,10400,489,2205,75,1,San Francisco
245,236,10401,238,2205,75,1,San Francisco
246,163,10402,165,2206,75,1,San Francisco
247,296,10403,299,2205,75,1,San Francisco
248,524,10405,534,2206,75,1,San Francisco
249,72,10411,72,2207,75,1,San Francisco
250,219,10413,221,2201,75,1,San Francisco
251,221,10414,223,2201,75,1,San Francisco
252,60,10416,60,2204,75,1,San Francisco
253,60,10417,60,2204,75,1,San Francisco
254,61,10418,61,2204,75,1,San Francisco
255,82,10419,83,2206,75,1,San Francisco
256,82,10420,83,2206,75,1,San Francisco
257,148,10421,150,2204,75,1,San Francisco
258,150,10424,152,2204,75,1,San Francisco
259,151,10425,153,2204,75,1,San Francisco
260,104,10427,105,2206,75,1,San Francisco
261,104,10428,105,2206,75,1,San Francisco
262,449,10429,459,2206,75,1,San Francisco
263,104,10430,105,2206,75,1,San Francisco
264,104,10431,105,2206,75,1,San Francisco
265,237,10432,239,2207,75,1,San Francisco
266,235,10433,237,2207,75,1,San Francisco
267,441,10434,451,2207,75,1,San Francisco
268,187,10435,189,2207,75,1,San Francisco
269,195,10436,197,2207,75,1,San Francisco
270,193,10437,195,2207,75,1,San Francisco
271,154,10438,156,2207,75,1,San Francisco
272,184,10440,186,2207,75,1,San Francisco
273,310,10441,314,2207,75,1,San Francisco
274,311,10443,315,2207,75,1,San Francisco
275,313,10444,317,2207,75,1,San Francisco
276,319,10445,323,2207,75,1,San Francisco
277,319,10446,323,2207,75,1,San Francisco
278,353,10447,360,2203,75,1,San Francisco
279,298,10450,301,2205,75,1,San Francisco
280,314,10452,318,2207,75,1,San Francisco
281,334,10454,340,2203,75,1,San Francisco
282,551,10455,562,2204,75,1,San Francisco
283,31,10456,31,2203,75,1,San Francisco
284,582,10457,599,2203,75,1,San Francisco
285,410,10458,418,2203,75,1,San Francisco
286,579,10460,595,2203,75,1,San Francisco
287,24,10462,24,2203,75,1,San Francisco
288,97,10463,98,2207,75,1,San Francisco
289,606,10464,623,2207,75,1,San Francisco
290,258,10466,260,2201,75,1,San Francisco
291,530,10467,540,2201,75,1,San Francisco
292,254,10468,256,2201,75,1,San Francisco
293,255,10469,257,2201,75,1,San Francisco
294,255,10470,257,2201,75,1,San Francisco
295,256,10472,258,2201,75,1,San Francisco
296,256,10473,258,2201,75,1,San Francisco
297,257,10474,259,2201,75,1,San Francisco
298,565,10476,576,2201,75,1,San Francisco
299,483,10477,493,2205,75,1,San Francisco
300,43,10482,43,2207,75,1,San Francisco
301,567,10483,579,2207,75,1,San Francisco
302,364,10484,371,2202,75,1,San Francisco
303,364,10486,371,2202,75,1,San Francisco
304,362,10487,369,2202,75,1,San Francisco
305,427,10488,436,2202,75,1,San Francisco
306,339,10489,345,2202,75,1,San Francisco
307,336,10490,342,2202,75,1,San Francisco
308,455,10493,465,2202,75,1,San Francisco
309,368,10494,375,2202,75,1,San Francisco
310,455,10496,465,2202,75,1,San Francisco
311,367,10498,374,2202,75,1,San Francisco
312,460,10499,470,2201,75,1,San Francisco
313,365,10501,372,2202,75,1,San Francisco
314,383,10503,390,2202,75,1,San Francisco
315,49,10504,49,2204,75,1,San Francisco
316,49,10507,49,2204,75,1,San Francisco
317,58,10508,58,2204,75,1,San Francisco
318,57,10509,57,2204,75,1,San Francisco
319,554,10512,565,2203,75,1,San Francisco
320,582,10514,599,2203,75,1,San Francisco
321,561,10515,572,2203,75,1,San Francisco
322,27,10517,27,2203,75,1,San Francisco
323,146,10518,148,2204,75,1,San Francisco
324,152,10519,154,2204,75,1,San Francisco
325,97,10520,98,2207,75,1,San Francisco
326,254,10523,256,2201,75,1,San Francisco
327,258,10524,260,2201,75,1,San Francisco
328,256,10525,258,2201,75,1,San Francisco
329,257,10526,259,2201,75,1,San Francisco
330,220,10527,222,2201,75,1,San Francisco
331,252,10528,254,2201,75,1,San Francisco
332,251,10529,253,2201,75,1,San Francisco
333,481,10530,491,2205,75,1,San Francisco
334,469,10532,479,2201,75,1,San Francisco
335,361,10535,368,2202,75,1,San Francisco
336,362,10536,369,2202,75,1,San Francisco
337,426,10538,435,2202,75,1,San Francisco
338,54,10539,54,2204,75,1,San Francisco
339,11,10540,11,2204,75,1,San Francisco
340,49,10541,49,2204,75,1,San Francisco
341,65,10542,65,2204,75,1,San Francisco
342,68,10543,68,2206,75,1,San Francisco
343,65,10544,65,2204,75,1,San Francisco
344,628,10546,645,2206,75,1,San Francisco
345,40,10547,40,2206,75,1,San Francisco
346,127,10549,129,2206,75,1,San Francisco
347,50,10551,50,2204,75,1,San Francisco
348,83,10552,84,2203,75,1,San Francisco
349,83,10553,84,2203,75,1,San Francisco
350,83,10554,84,2203,75,1,San Francisco
351,83,10555,84,2203,75,1,San Francisco
352,7,10564,7,2204,75,1,San Francisco
353,550,10566,561,2203,75,1,San Francisco
354,16,10567,16,2204,75,1,San Francisco
355,551,10572,562,2204,75,1,San Francisco
356,5,10573,5,2204,75,1,San Francisco
357,562,10575,573,2203,75,1,San Francisco
358,592,10576,609,2203,75,1,San Francisco
359,570,10581,583,2207,75,1,San Francisco
360,596,10582,613,2203,75,1,San Francisco
361,267,10585,269,2201,75,1,San Francisco
362,259,10586,261,2201,75,1,San Francisco
363,537,10587,547,2201,75,1,San Francisco
364,44,10590,44,2207,75,1,San Francisco
365,166,10593,168,2206,75,1,San Francisco
366,463,10594,473,2201,75,1,San Francisco
367,430,10595,439,2202,75,1,San Francisco
368,424,10596,433,2202,75,1,San Francisco
369,461,10597,471,2201,75,1,San Francisco
370,458,10598,468,2201,75,1,San Francisco
371,337,10600,343,2202,75,1,San Francisco
372,363,10601,370,2202,75,1,San Francisco
373,363,10602,370,2202,75,1,San Francisco
374,66,10604,66,2204,75,1,San Francisco
375,54,10605,54,2204,75,1,San Francisco
376,54,10606,54,2204,75,1,San Francisco
377,55,10607,55,2204,75,1,San Francisco
378,55,10608,55,2204,75,1,San Francisco
379,59,10609,59,2204,75,1,San Francisco
380,65,10610,65,2204,75,1,San Francisco
381,59,10611,59,2204,75,1,San Francisco
382,66,10612,66,2204,75,1,San Francisco
383,629,10613,646,2204,75,1,San Francisco
384,40,10614,40,2206,75,1,San Francisco
385,482,10627,492,2205,75,1,San Francisco
386,280,10628,282,2205,75,1,San Francisco
387,12,10632,12,2204,75,1,San Francisco
388,12,10635,12,2204,75,1,San Francisco
389,16,10637,16,2204,75,1,San Francisco
390,97,10642,98,2207,75,1,San Francisco
391,39,10646,39,2203,75,1,San Francisco
392,288,10649,290,2203,75,1,San Francisco
393,288,10650,290,2203,75,1,San Francisco
394,610,10654,627,2207,75,1,San Francisco
395,186,10655,188,2207,75,1,San Francisco
396,186,10658,188,2207,75,1,San Francisco
397,609,10659,626,2207,75,1,San Francisco
398,612,10660,629,2207,75,1,San Francisco
399,166,10665,168,2206,75,1,San Francisco
400,421,10666,429,2202,75,1,San Francisco
401,429,10667,438,2202,75,1,San Francisco
402,137,10668,139,2205,75,1,San Francisco
403,140,10669,142,2205,75,1,San Francisco
404,140,10670,142,2205,75,1,San Francisco
405,138,10671,140,2205,75,1,San Francisco
406,553,10675,564,2203,75,1,San Francisco
407,575,10677,590,2203,75,1,San Francisco
408,39,10680,39,2203,75,1,San Francisco
409,507,10681,517,2201,75,1,San Francisco
410,107,10683,108,2206,75,1,San Francisco
411,322,10684,326,2206,75,1,San Francisco
412,270,10685,272,2205,75,1,San Francisco
413,289,10686,291,2205,75,1,San Francisco
414,451,10693,461,2202,75,1,San Francisco
415,451,10695,461,2202,75,1,San Francisco
416,453,10696,463,2202,75,1,San Francisco
417,461,10697,471,2201,75,1,San Francisco
418,461,10698,471,2201,75,1,San Francisco
419,451,10699,461,2202,75,1,San Francisco
420,430,10700,439,2202,75,1,San Francisco
421,430,10701,439,2202,75,1,San Francisco
422,80,10702,81,2203,75,1,San Francisco
423,38,10703,38,2203,75,1,San Francisco
424,80,10704,81,2203,75,1,San Francisco
425,252,10705,254,2201,75,1,San Francisco
426,221,10706,223,2201,75,1,San Francisco
427,312,10707,316,2207,75,1,San Francisco
428,312,10708,316,2207,75,1,San Francisco
429,191,10711,193,2207,75,1,San Francisco
430,192,10713,194,2207,75,1,San Francisco
431,233,10714,235,2207,75,1,San Francisco
432,191,10716,193,2207,75,1,San Francisco
433,194,10717,196,2207,75,1,San Francisco
434,311,10718,315,2207,75,1,San Francisco
435,311,10720,315,2207,75,1,San Francisco
436,231,10721,233,2207,75,1,San Francisco
437,232,10722,234,2207,75,1,San Francisco
438,380,10724,387,2202,75,1,San Francisco
439,445,10725,455,2206,75,1,San Francisco
440,152,10726,154,2204,75,1,San Francisco
441,189,10727,191,2207,75,1,San Francisco
442,189,10728,191,2207,75,1,San Francisco
443,631,10731,648,2204,75,1,San Francisco
444,562,10734,573,2203,75,1,San Francisco
445,588,10735,605,2203,75,1,San Francisco
446,165,10736,167,2206,75,1,San Francisco
447,155,10743,157,2206,75,1,San Francisco
448,156,10744,158,2206,75,1,San Francisco
449,127,10745,129,2206,75,1,San Francisco
450,108,10750,109,2206,75,1,San Francisco
451,449,10751,459,2206,75,1,San Francisco
452,104,10753,105,2206,75,1,San Francisco
453,449,10754,459,2206,75,1,San Francisco
454,228,10756,230,2207,75,1,San Francisco
455,71,10760,71,2207,75,1,San Francisco
456,252,10761,254,2201,75,1,San Francisco
457,215,10762,217,2201,75,1,San Francisco
458,214,10763,216,2201,75,1,San Francisco
459,247,10764,249,2201,75,1,San Francisco
460,471,10765,481,2201,75,1,San Francisco
461,246,10766,248,2201,75,1,San Francisco
462,248,10767,250,2201,75,1,San Francisco
463,248,10768,250,2201,75,1,San Francisco
464,632,10769,649,2201,75,1,San Francisco
465,275,10770,277,2205,75,1,San Francisco
466,275,10771,277,2205,75,1,San Francisco
467,325,10772,331,2205,75,1,San Francisco
468,325,10773,331,2205,75,1,San Francisco
469,275,10774,277,2205,75,1,San Francisco
470,241,10775,243,2205,75,1,San Francisco
471,106,10776,107,2206,75,1,San Francisco
472,101,10780,102,2206,75,1,San Francisco
473,101,10782,102,2206,75,1,San Francisco
474,101,10783,102,2206,75,1,San Francisco
475,299,10786,303,2206,75,1,San Francisco
476,586,10787,603,2203,75,1,San Francisco
477,434,10790,443,2201,75,1,San Francisco
478,433,10791,442,2201,75,1,San Francisco
479,509,10793,519,2201,75,1,San Francisco
480,182,10795,184,2207,75,1,San Francisco
481,148,10798,150,2204,75,1,San Francisco
482,153,10801,155,2204,75,1,San Francisco
483,152,10803,154,2204,75,1,San Francisco
484,108,10805,109,2206,75,1,San Francisco
485,108,10806,109,2206,75,1,San Francisco
486,237,10809,239,2207,75,1,San Francisco
487,235,10810,237,2207,75,1,San Francisco
488,315,10811,319,2207,75,1,San Francisco
489,315,10812,319,2207,75,1,San Francisco
490,71,10813,71,2207,75,1,San Francisco
491,42,10814,42,2207,75,1,San Francisco
492,71,10817,71,2207,75,1,San Francisco
493,441,10818,451,2207,75,1,San Francisco
494,42,10819,42,2207,75,1,San Francisco
495,593,10822,610,2203,75,1,San Francisco
496,87,10823,88,2203,75,1,San Francisco
497,498,10834,508,2201,75,1,San Francisco
498,472,10835,482,2201,75,1,San Francisco
499,250,10837,252,2201,75,1,San Francisco
500,250,10838,252,2201,75,1,San Francisco
501,370,10839,377,2201,75,1,San Francisco
502,469,10840,479,2201,75,1,San Francisco
503,547,10843,558,2204,75,1,San Francisco
504,547,10847,558,2204,75,1,San Francisco
505,546,10848,557,2204,75,1,San Francisco
506,7,10849,7,2204,75,1,San Francisco
507,8,10850,8,2204,75,1,San Francisco
508,14,10851,14,2204,75,1,San Francisco
509,14,10852,14,2204,75,1,San Francisco
510,502,10853,512,2201,75,1,San Francisco
511,505,10854,515,2201,75,1,San Francisco
512,374,10856,381,2204,75,1,San Francisco
513,374,10857,381,2204,75,1,San Francisco
514,144,10858,146,2204,75,1,San Francisco
515,144,10859,146,2204,75,1,San Francisco
516,187,10860,189,2207,75,1,San Francisco
517,190,10861,192,2207,75,1,San Francisco
518,608,10863,625,2207,75,1,San Francisco
519,608,10864,625,2207,75,1,San Francisco
520,118,10865,120,2207,75,1,San Francisco
521,119,10866,121,2207,75,1,San Francisco
522,119,10867,121,2207,75,1,San Francisco
523,119,10868,121,2207,75,1,San Francisco
524,100,10871,101,2206,75,1,San Francisco
525,282,10873,284,2205,75,1,San Francisco
526,326,10874,332,2205,75,1,San Francisco
527,468,10876,478,2201,75,1,San Francisco
528,3,10877,3,2204,75,1,San Francisco
529,126,10878,128,2206,75,1,San Francisco
530,105,10879,106,2206,75,1,San Francisco
531,208,10881,210,2205,75,1,San Francisco
532,205,10882,207,2205,75,1,San Francisco
533,208,10883,210,2205,75,1,San Francisco
534,75,10884,75,2201,75,1,San Francisco
535,242,10885,244,2201,75,1,San Francisco
536,533,10886,543,2201,75,1,San Francisco
537,242,10887,244,2201,75,1,San Francisco
538,138,10889,140,2205,75,1,San Francisco
539,141,10890,143,2205,75,1,San Francisco
540,142,10891,144,2205,75,1,San Francisco
541,236,10892,238,2205,75,1,San Francisco
542,273,10893,275,2205,75,1,San Francisco
543,271,10894,273,2205,75,1,San Francisco
544,236,10895,238,2205,75,1,San Francisco
545,271,10896,273,2205,75,1,San Francisco
546,496,10897,506,2205,75,1,San Francisco
547,495,10898,505,2205,75,1,San Francisco
548,474,10899,484,2201,75,1,San Francisco
549,513,10900,523,2201,75,1,San Francisco
550,513,10901,523,2201,75,1,San Francisco
551,500,10902,510,2201,75,1,San Francisco
552,268,10904,270,2205,75,1,San Francisco
553,519,10906,529,2204,75,1,San Francisco
554,406,10907,414,2204,75,1,San Francisco
555,404,10908,412,2204,75,1,San Francisco
556,403,10909,411,2204,75,1,San Francisco
557,519,10910,529,2204,75,1,San Francisco
558,518,10911,528,2204,75,1,San Francisco
559,402,10912,409,2204,75,1,San Francisco
560,405,10913,413,2204,75,1,San Francisco
561,404,10914,412,2204,75,1,San Francisco
562,405,10915,413,2204,75,1,San Francisco
563,289,10916,291,2205,75,1,San Francisco
564,289,10917,291,2205,75,1,San Francisco
565,554,10920,565,2203,75,1,San Francisco
566,553,10922,564,2203,75,1,San Francisco
567,46,10924,46,2204,75,1,San Francisco
568,24,10925,24,2203,75,1,San Francisco
569,22,10927,22,2203,75,1,San Francisco
570,61,10929,61,2204,75,1,San Francisco
571,64,10930,64,2204,75,1,San Francisco
572,185,10933,187,2207,75,1,San Francisco
573,440,10934,450,2207,75,1,San Francisco
574,567,10936,579,2207,75,1,San Francisco
575,567,10937,579,2207,75,1,San Francisco
576,71,10938,71,2207,75,1,San Francisco
577,442,10939,452,2207,75,1,San Francisco
578,187,10940,189,2207,75,1,San Francisco
579,238,10941,240,2207,75,1,San Francisco
580,121,10944,123,2204,75,1,San Francisco
581,605,10947,622,2207,75,1,San Francisco
582,606,10948,623,2207,75,1,San Francisco
583,386,10950,393,2202,75,1,San Francisco
584,456,10951,466,2201,75,1,San Francisco
585,143,10955,145,2205,75,1,San Francisco
586,143,10956,145,2205,75,1,San Francisco
587,474,10957,484,2201,75,1,San Francisco
588,513,10958,523,2201,75,1,San Francisco
589,633,10959,650,2201,75,1,San Francisco
590,499,10961,509,2201,75,1,San Francisco
591,515,10962,525,2201,75,1,San Francisco
592,520,10964,530,2204,75,1,San Francisco
593,519,10965,529,2204,75,1,San Francisco
594,630,10966,647,2204,75,1,San Francisco
595,404,10967,412,2204,75,1,San Francisco
596,289,10970,291,2205,75,1,San Francisco
597,570,10972,583,2207,75,1,San Francisco
598,542,10975,553,2207,75,1,San Francisco
599,542,10976,553,2207,75,1,San Francisco
600,43,10977,43,2207,75,1,San Francisco
601,124,10978,126,2204,75,1,San Francisco
602,421,10982,429,2202,75,1,San Francisco
603,429,10983,438,2202,75,1,San Francisco
604,429,10984,438,2202,75,1,San Francisco
605,426,10985,435,2202,75,1,San Francisco
606,339,10986,345,2202,75,1,San Francisco
607,336,10989,342,2202,75,1,San Francisco
608,336,10990,342,2202,75,1,San Francisco
609,431,10991,440,2202,75,1,San Francisco
610,454,10992,464,2202,75,1,San Francisco
611,454,10993,464,2202,75,1,San Francisco
612,459,10994,469,2201,75,1,San Francisco
613,459,10995,469,2201,75,1,San Francisco
614,367,10996,374,2202,75,1,San Francisco
615,63,10997,63,2204,75,1,San Francisco
616,58,10999,58,2204,75,1,San Francisco
617,47,11001,47,2204,75,1,San Francisco
618,535,11002,545,2201,75,1,San Francisco
619,537,11004,547,2201,75,1,San Francisco
620,254,11005,256,2201,75,1,San Francisco
621,260,11006,262,2201,75,1,San Francisco
622,249,11008,251,2201,75,1,San Francisco
623,370,11011,377,2201,75,1,San Francisco
624,466,11013,476,2201,75,1,San Francisco
625,500,11014,510,2201,75,1,San Francisco
626,462,11015,472,2201,75,1,San Francisco
627,71,11018,71,2207,75,1,San Francisco
628,300,11021,304,2206,75,1,San Francisco
629,269,11026,271,2205,75,1,San Francisco
630,12,11027,12,2204,75,1,San Francisco
631,84,11028,85,2203,75,1,San Francisco
632,84,11031,85,2203,75,1,San Francisco
