20-Feb-2015 11:38:58:478, INFO, balancing incidence table 2 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:58:480, INFO, balancing incidence table 3 has 2445 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:38:58:481, INFO, balancing incidence table 4 has 2445 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:38:58:483, INFO, balancing incidence table 5 has 2445 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:38:58:485, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:38:58:617, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:38:58:823, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:38:59:035, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:38:59:245, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:38:59:455, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:38:59:791, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:00:148, INFO, combining final incidence tables.
20-Feb-2015 11:39:00:151, INFO, balancing incidence table 0 has 2865 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:00:152, INFO, balancing incidence table 1 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:00:154, INFO, balancing incidence table 2 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:00:156, INFO, balancing incidence table 3 has 2865 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:00:158, INFO, balancing incidence table 4 has 2865 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:00:160, INFO, balancing incidence table 5 has 2865 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:00:161, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:00:291, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:00:496, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:00:703, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:00:911, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:01:120, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:01:438, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:01:767, INFO, combining final incidence tables.
20-Feb-2015 11:39:01:770, INFO, balancing incidence table 0 has 2552 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:01:772, INFO, balancing incidence table 1 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:01:773, INFO, balancing incidence table 2 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:01:775, INFO, balancing incidence table 3 has 2552 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:01:777, INFO, balancing incidence table 4 has 2552 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:01:778, INFO, balancing incidence table 5 has 2552 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:01:780, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:01:900, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:02:085, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:02:280, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:02:478, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:02:672, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:03:002, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:03:328, INFO, combining final incidence tables.
20-Feb-2015 11:39:03:330, INFO, balancing incidence table 0 has 1913 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:03:332, INFO, balancing incidence table 1 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:03:333, INFO, balancing incidence table 2 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:03:335, INFO, balancing incidence table 3 has 1913 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:03:337, INFO, balancing incidence table 4 has 1913 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:03:339, INFO, balancing incidence table 5 has 1913 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:03:340, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:03:473, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:03:668, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:03:866, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:04:064, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:04:280, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:04:619, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:04:966, INFO, combining final incidence tables.
20-Feb-2015 11:39:04:968, INFO, balancing incidence table 0 has 2043 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:04:969, INFO, balancing incidence table 1 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:04:971, INFO, balancing incidence table 2 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:04:973, INFO, balancing incidence table 3 has 2043 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:04:974, INFO, balancing incidence table 4 has 2043 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:04:976, INFO, balancing incidence table 5 has 2043 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:04:978, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:05:107, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:05:305, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:05:510, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:05:713, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:05:913, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:06:265, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:06:628, INFO, combining final incidence tables.
20-Feb-2015 11:39:06:630, INFO, balancing incidence table 0 has 2562 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:06:632, INFO, balancing incidence table 1 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:06:634, INFO, balancing incidence table 2 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:06:636, INFO, balancing incidence table 3 has 2562 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:06:638, INFO, balancing incidence table 4 has 2562 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:06:639, INFO, balancing incidence table 5 has 2562 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:06:641, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:06:774, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:06:972, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:07:177, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:07:381, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:07:586, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:07:923, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:08:274, INFO, combining final incidence tables.
20-Feb-2015 11:39:08:275, INFO, balancing incidence table 0 has 2569 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:08:277, INFO, balancing incidence table 1 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:08:279, INFO, balancing incidence table 2 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:08:281, INFO, balancing incidence table 3 has 2569 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:08:282, INFO, balancing incidence table 4 has 2569 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:08:284, INFO, balancing incidence table 5 has 2569 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:08:286, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:08:652, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:08:846, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:09:042, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:09:237, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:09:431, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:09:757, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:10:086, INFO, combining final incidence tables.
20-Feb-2015 11:39:10:088, INFO, balancing incidence table 0 has 2103 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:10:090, INFO, balancing incidence table 1 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:10:092, INFO, balancing incidence table 2 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:10:093, INFO, balancing incidence table 3 has 2103 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:10:095, INFO, balancing incidence table 4 has 2103 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:10:097, INFO, balancing incidence table 5 has 2103 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:10:098, INFO, balancing incidence table total households control index = 0.
20-Feb-2015 11:39:10:231, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
20-Feb-2015 11:39:10:424, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
20-Feb-2015 11:39:10:617, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
20-Feb-2015 11:39:10:808, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
20-Feb-2015 11:39:11:024, INFO, getting County Level META Control: Number of persons by age group count incidence table.
20-Feb-2015 11:39:11:360, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
20-Feb-2015 11:39:11:702, INFO, combining final incidence tables.
20-Feb-2015 11:39:11:703, INFO, balancing incidence table 0 has 1993 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
20-Feb-2015 11:39:11:705, INFO, balancing incidence table 1 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:11:707, INFO, balancing incidence table 2 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:11:708, INFO, balancing incidence table 3 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
20-Feb-2015 11:39:11:710, INFO, balancing incidence table 4 has 1993 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
20-Feb-2015 11:39:11:712, INFO, balancing incidence table 5 has 1993 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
20-Feb-2015 11:39:11:713, INFO, balancing incidence table total households control index = 0.
